,words,amounts,entropies
4481,alienate,72,1.656
522,undertake,1472,1.655
7187,gut,109,1.655
2158,breach,1500,1.654
4855,melt,140,1.653
5611,contradict,477,1.653
8123,slip,120,1.653
778,early,2997,1.652
91,such,24523,1.649
342,care,5069,1.648
2130,host,278,1.648
3132,allowance,430,1.646
228,horrendous,156,1.644
1308,gain,2060,1.644
1556,sign,6312,1.643
493,draft,5594,1.64
92,will,56867,1.635
5599,substitute,524,1.635
170,manage,5471,1.634
907,implement,12019,1.634
1358,select,800,1.634
6052,lovely,110,1.633
6951,shell,158,1.633
1023,argue,1336,1.632
2495,hinder,582,1.632
3158,suit,426,1.631
4904,suck,75,1.63
293,follow,17718,1.629
3005,careful,1324,1.629
6868,bend,106,1.627
432,slaughter,696,1.626
1618,consignment,69,1.626
390,meet,8746,1.625
3306,disturbance,169,1.625
2979,completion,507,1.621
5743,discourage,306,1.621
735,lay,2735,1.62
103,right,31341,1.619
246,demand,10906,1.617
714,train,2276,1.613
739,delighted,1700,1.613
5360,assault,201,1.613
1055,devise,457,1.612
21,to,955901,1.611
161,stop,4933,1.609
475,properly,2893,1.609
728,worth,1566,1.608
2703,safeguard,3112,1.608
873,advance,1939,1.607
4026,reversal,32,1.607
9081,wander,105,1.607
1211,cause,11233,1.606
573,merely,1736,1.605
5915,self,181,1.603
5171,refine,140,1.598
304,present,21762,1.597
513,deadlock,299,1.596
4072,deputy,98,1.595
5365,broadcast,177,1.595
1964,restore,2232,1.593
3006,thoroughly,137,1.593
620,regulatory,2438,1.591
736,pleased,5475,1.591
4647,master,337,1.591
671,gear,446,1.59
678,join,3970,1.59
487,wise,457,1.586
684,emerge,2296,1.583
7412,cheat,166,1.581
895,face,8127,1.58
1135,effectively,4500,1.578
2124,venture,135,1.578
3120,estimate,2423,1.578
5349,batter,37,1.578
1547,turmoil,100,1.577
2489,harm,1400,1.575
7464,angry,231,1.575
4415,disregard,397,1.574
5151,wrongly,164,1.573
242,seek,6158,1.572
277,course,21260,1.57
1823,equip,696,1.57
359,increase,26996,1.569
2507,severely,361,1.569
3342,govern,1264,1.566
4289,rob,200,1.566
10709,inch,203,1.566
181,individual,8484,1.565
3735,landing,75,1.565
4839,bless,101,1.565
5379,nominate,212,1.565
2736,display,464,1.564
15,full,9114,1.562
5503,stifl,38,1.562
1263,substantially,721,1.557
1142,specifically,3884,1.556
2001,shift,1177,1.556
3232,reservoir,66,1.556
1967,reinstate,131,1.555
4087,amaze,176,1.555
361,enhance,2504,1.554
601,comprehensive,3081,1.554
1165,flawed,126,1.551
2034,outstanding,791,1.549
3082,spearhead,58,1.548
220,honestly,450,1.544
1866,bear,1194,1.544
7541,dive,59,1.543
7618,p . m .,107,1.543
278,ongoing,971,1.542
5263,ravage,105,1.542
6551,sponsor,255,1.542
2209,anticipation,151,1.541
2321,car,5736,1.541
2387,thick,128,1.541
5253,wreck,116,1.541
2110,dispute,2040,1.54
1421,room,2773,1.539
3044,unrealistic,190,1.539
3312,disruption,287,1.538
360,grow,6203,1.537
1122,taxation,2197,1.537
4828,wire,173,1.535
653,stand,1038,1.533
2379,contest,186,1.533
990,entail,836,1.532
14208,cheer,113,1.532
721,penalize,116,1.531
6496,measurable,175,1.53
3678,worsen,530,1.529
3304,awesome,169,1.528
3064,undeniably,111,1.527
6465,encrypt,45,1.526
4930,contentious,191,1.525
7687,inextricably,95,1.525
268,connection,4607,1.524
5839,overstep,47,1.524
2746,wisely,145,1.522
2782,kick,93,1.522
190,range,2228,1.521
776,start,16922,1.52
6614,craft,110,1.518
5366,disseminate,362,1.515
93,take,47446,1.513
9217,cord,61,1.513
6164,precedence,209,1.512
156,disturb,117,1.507
4875,pour,96,1.506
4781,compile,140,1.503
521,conduct,3301,1.502
5776,reunit,84,1.502
597,entirely,2961,1.501
6375,overwhelm,47,1.499
1468,college,1487,1.498
11328,lease,52,1.498
94,need,84009,1.496
982,renowned,49,1.496
10790,lax,142,1.496
3057,confer,337,1.494
380,store,974,1.493
1034,appreciation,587,1.493
1385,instruct,110,1.493
256,matter,21195,1.492
2381,expand,1472,1.491
5354,chunk,44,1.491
4334,vehemently,72,1.489
12070,reprehensible,136,1.489
792,vital,5654,1.488
1509,rethink,272,1.488
2045,underpin,255,1.488
528,intend,4685,1.486
1836,commend,506,1.485
4790,incur,273,1.485
2779,throw,775,1.484
1195,conclude,6079,1.483
2210,close,9450,1.483
3241,happily,203,1.483
3674,exacerbate,638,1.483
8748,murderous,62,1.483
3185,fix,615,1.482
5835,fold,140,1.482
1256,track,920,1.481
3953,strongly,2023,1.481
9902,weave,39,1.481
1579,vast,836,1.48
4872,leak,179,1.478
614,rule,31853,1.477
2216,closer,866,1.476
3524,obscure,171,1.476
1858,use,43702,1.474
2349,empowerment,79,1.474
4624,yard,149,1.474
3804,player,2339,1.472
5771,quietly,63,1.471
4168,purchase,1467,1.468
1374,trigger,378,1.467
3822,beaten,124,1.467
5217,heal,220,1.467
5378,appoint,1331,1.467
6650,hook,66,1.467
331,anxious,237,1.466
6006,catch,1400,1.466
14727,bleed,81,1.466
330,hit,1062,1.464
10741,cook,292,1.464
120,since,22947,1.463
5300,frame,150,1.462
12225,drill,79,1.462
5139,welcoming,196,1.461
6912,distressing,88,1.461
6785,abhorrent,46,1.46
1126,prosecution,309,1.459
2085,settle,582,1.459
153,disturbing,457,1.458
4048,vigorously,210,1.458
4239,minded,59,1.458
6773,nonsense,264,1.458
7001,anger,449,1.458
269,compare,3154,1.457
2042,fill,1013,1.457
276,purpose,5071,1.455
682,out,4764,1.453
1041,status,3308,1.453
1984,reverse,668,1.452
3983,earmark,458,1.452
2617,transpose,830,1.451
6861,afflict,49,1.449
285,later,4955,1.446
4212,delight,86,1.446
2005,skill,1811,1.445
3391,hamper,345,1.445
3981,design,5142,1.444
2411,restrict,2789,1.443
1015,endorse,1836,1.442
4719,stuck,156,1.442
732,produce,7343,1.441
871,quickly,6213,1.441
4924,fp7,86,1.441
5254,spoil,71,1.441
6828,appal,80,1.441
554,major,11766,1.44
1737,confront,732,1.44
280,obviously,4920,1.439
394,deliver,923,1.437
2448,rank,335,1.436
6738,bean,69,1.436
2008,understanding,3603,1.435
3959,length,548,1.434
1033,appreciate,1311,1.433
13664,bite,98,1.432
4291,hesitation,163,1.431
571,run,1748,1.43
839,friendly,722,1.43
681,stem,592,1.429
1021,remain,10365,1.428
5591,cancel,578,1.428
241,request,9685,1.427
1835,advise,505,1.426
2922,thorough,572,1.426
3467,farming,1245,1.426
1616,delivery,502,1.425
1641,stroke,68,1.425
2904,mainstream,114,1.425
272,term,22574,1.423
3923,manager,659,1.423
165,flaw,285,1.422
547,extremely,8443,1.422
3283,downgrade,91,1.421
479,require,11926,1.42
1549,puzzle,161,1.419
231,horrific,239,1.418
6571,ride,131,1.418
1056,pull,356,1.417
5112,straw,145,1.415
810,undermine,1565,1.414
2204,anticipate,1004,1.413
8580,overlap,167,1.413
5437,smooth,146,1.412
1646,spend,4183,1.41
8333,defuse,63,1.41
2724,pay,9918,1.409
6889,comfort,264,1.408
1867,shoulder,651,1.407
1938,cope,244,1.407
2479,usually,1064,1.406
4144,odd,450,1.406
343,involved,4306,1.405
3526,mask,193,1.404
385,notice,1012,1.403
2827,biased,129,1.402
4225,cautiously,64,1.402
7282,healing,83,1.401
2594,breakdown,188,1.4
2077,remedy,695,1.399
341,mention,13276,1.398
436,shoot,362,1.398
1941,birth,1161,1.398
2323,tour,184,1.398
1936,endure,288,1.397
307,stage,6658,1.395
705,way,34972,1.395
3461,farm,1435,1.394
125,note,5792,1.392
337,keen,147,1.392
3146,supplement,1033,1.392
3465,breeding,199,1.392
2607,empower,145,1.391
387,highlight,5134,1.39
1876,grant,3767,1.39
1371,fighter,180,1.388
575,only,66391,1.387
3479,divide,1983,1.385
7396,shelf,152,1.382
13919,1 . 3,154,1.382
2999,vigilant,566,1.381
4879,drying,28,1.381
2605,hall,305,1.38
48,therefore,43309,1.379
8231,rename,24,1.379
2170,retreat,79,1.378
4302,handicap,65,1.378
5981,swing,33,1.378
6246,intensively,227,1.377
7340,rage,73,1.377
4632,cumbersome,116,1.376
6949,dash,23,1.376
7091,roll,224,1.376
3191,equate,145,1.374
5521,fancy,49,1.374
854,maybe,3603,1.373
816,eligible,152,1.372
1376,shooting,83,1.371
2267,mourn,103,1.371
187,various,12748,1.37
1401,crash,276,1.369
2097,failing,156,1.369
5398,distress,113,1.369
4344,stark,44,1.367
7539,immerse,84,1.367
1444,ashamed,215,1.366
4478,disassociate,24,1.366
535,pursuit,325,1.365
719,criminalise,231,1.365
5749,spark,130,1.365
905,tile,58,1.364
5179,american,3526,1.363
530,address,7977,1.362
2517,automotive,348,1.362
4014,subordinate,322,1.362
9819,undervalue,82,1.362
13526,pellet,29,1.362
3934,pump,202,1.361
4882,smell,316,1.361
98,rely,1147,1.36
136,feel,10147,1.36
2621,relocate,342,1.359
841,polite,74,1.357
2007,awareness,1986,1.357
2277,pardon,89,1.357
6050,fine,871,1.357
6382,opponent,674,1.356
3455,temper,29,1.355
4229,painstaking,29,1.355
2259,reinvigorate,58,1.354
4580,ballot,69,1.354
210,indeed,7437,1.353
984,post,1287,1.353
9739,royalty,33,1.353
157,fail,2406,1.352
1136,even,32762,1.352
1949,hey,264,1.352
4673,scare,131,1.352
5325,forge,242,1.352
8064,blur,39,1.352
1540,unclear,56,1.35
5777,assemble,80,1.35
7211,hack,77,1.349
9508,retardant,35,1.349
379,observe,1951,1.348
1065,event,8322,1.348
1435,disgraceful,309,1.348
4547,bid,254,1.348
6655,bypass,71,1.348
9225,overshadow,138,1.348
4410,cover,4136,1.347
4863,suspicious,156,1.347
10638,bog,34,1.347
14372,spray,34,1.347
22530,politkovskaya,114,1.346
898,sadly,1130,1.345
646,prompt,294,1.344
2203,schedule,945,1.343
12019,bolt,39,1.343
130,watch,2062,1.341
314,gentleman,1485,1.341
7580,beef,766,1.341
176,reach,11254,1.34
850,again,16797,1.34
2835,recruit,292,1.34
5249,lump,39,1.34
1698,connect,2157,1.337
3982,allocate,2258,1.337
10081,rainbow,48,1.337
11201,bottleneck,99,1.337
1732,promote,13868,1.336
4147,praise,725,1.336
2966,launch,2552,1.334
7304,restraint,168,1.334
1500,regular,1672,1.333
31,defer,253,1.332
644,arise,2433,1.332
2044,sustain,457,1.332
17963,sandwich,81,1.331
4864,boast,90,1.329
900,unfortunate,1043,1.327
1722,unusual,296,1.327
7527,rear,169,1.327
2806,dock,61,1.326
3155,standardize,71,1.326
5014,surround,1112,1.326
4488,scatter,104,1.325
5903,custodian,54,1.324
183,stock,1801,1.323
177,people,75116,1.322
3571,politely,45,1.322
4092,encouragement,382,1.322
6749,seizure,112,1.322
853,perhaps,10160,1.321
2785,evict,31,1.321
3343,regularly,941,1.321
6594,harmoniously,47,1.321
3279,picture,3002,1.32
3583,exceed,1287,1.319
20143,amazon,284,1.319
207,truly,3078,1.318
713,guy,1290,1.318
643,pose,1547,1.316
5792,organically,34,1.316
6455,feed,1502,1.316
12241,bully,51,1.316
405,view,21259,1.315
5470,treasury,131,1.315
6973,tear,348,1.315
10875,gm,128,1.315
5929,resign,338,1.313
14300,scan,184,1.313
790,crucial,6743,1.312
5276,erode,127,1.312
8469,spin,152,1.312
4607,yield,246,1.311
6147,secrecy,172,1.311
462,anyone,3320,1.31
471,appropriate,7605,1.31
3145,termination,91,1.31
8827,scourge,519,1.31
600,completely,5851,1.309
3789,plant,3853,1.309
667,guide,1217,1.308
6569,circumvent,175,1.308
6587,breath,215,1.306
6646,estate,35,1.305
11613,slander,68,1.305
186,number,24451,1.304
2169,removal,686,1.304
2941,caution,408,1.304
249,appeal,2056,1.303
3331,emphasize,953,1.303
1048,pass,2913,1.302
1488,plank,44,1.302
1934,educated,258,1.302
3177,redundant,463,1.302
2561,chop,50,1.301
1063,focus,6329,1.299
5054,rebate,197,1.299
2093,missing,538,1.297
4841,crack,103,1.297
8140,outdated,266,1.297
10315,recreation,54,1.297
2906,embody,139,1.296
6442,refute,96,1.296
1676,occurrence,77,1.295
3635,exempt,568,1.295
3774,gradually,1095,1.295
7558,lunch,277,1.295
1357,choose,4678,1.294
3053,seat,1302,1.294
7348,slum,86,1.294
9021,bonus,73,1.294
1200,foundation,2976,1.293
2217,closely,3051,1.293
2677,bump,41,1.293
2948,frank,493,1.293
4782,collection,1242,1.293
21306,millennial,48,1.293
750,familiar,1100,1.292
2592,recess,45,1.292
6562,contraven,45,1.292
224,honesty,412,1.291
303,time,70164,1.291
6572,tread,35,1.291
13,fully,9191,1.29
208,genuinely,1475,1.29
4213,west,1713,1.29
8260,daring,51,1.29
1145,particular,25468,1.289
3807,distribute,1627,1.289
162,leave,9330,1.288
413,aim,11922,1.288
4662,mark,1870,1.288
26,suspend,1955,1.287
33,lift,1082,1.287
609,consultancy,67,1.286
1262,significantly,1441,1.286
2127,pile,194,1.286
7890,computer,2848,1.286
11901,pin,71,1.286
1146,particularly,18797,1.285
2242,background,697,1.285
3376,hasten,42,1.285
6135,chair,910,1.285
411,end,20771,1.284
3442,welsh,73,1.284
6378,overwhelmingly,93,1.284
1051,preparation,3245,1.283
5586,repeal,385,1.283
6241,cure,728,1.283
9918,seal,293,1.283
1044,adopt,23884,1.282
1877,attach,778,1.282
4085,amazing,1405,1.282
5173,stamp,145,1.282
5848,stray,36,1.282
14303,scanning,39,1.282
168,achieve,19039,1.281
933,accordance,3922,1.28
19,borrow,28,1.279
4188,separate,2467,1.279
9880,abduct,161,1.279
711,rate,6842,1.278
926,however,40165,1.278
4878,dry,236,1.278
7912,glimpse,49,1.278
8581,overlapping,59,1.278
9793,1 . 1,67,1.278
5033,supporter,689,1.277
5190,unjustifiably,41,1.277
10896,pipe,109,1.276
2383,extend,5470,1.275
2080,redress,220,1.274
2095,shortcoming,1358,1.274
3139,bond,420,1.274
5443,smoothly,47,1.274
13912,1 . 6,107,1.274
9781,troubled,56,1.273
1589,widespread,1010,1.272
7703,confinement,56,1.272
908,enforcement,1180,1.271
3096,efficiently,833,1.271
7116,hang,183,1.271
845,purely,1257,1.27
1566,uneasy,36,1.27
7492,reintegrate,126,1.27
10584,myriad,46,1.27
1777,body,7982,1.269
3452,alleviation,70,1.269
4543,refresh,38,1.269
4852,founding,128,1.269
6248,barbaric,236,1.269
14926,ram,38,1.269
5277,sap,53,1.268
2726,devote,1310,1.267
2774,boost,1028,1.267
4328,testify,128,1.267
5566,disqualification,37,1.267
284,certainly,4627,1.266
928,yet,9437,1.266
2331,sheet,227,1.266
8414,reflective,44,1.266
1998,guise,96,1.265
3245,exciting,700,1.265
4294,sensibly,106,1.265
6380,stubborn,49,1.265
126,ascertain,192,1.264
815,permissible,140,1.264
3680,escalate,143,1.264
333,concern,17942,1.263
531,deal,7852,1.263
2233,recording,388,1.263
5814,shop,518,1.263
1293,monitoring,4354,1.261
3639,marginalize,92,1.261
5076,inconsistent,280,1.26
3275,sharply,41,1.259
9734,bonuse,97,1.259
3353,diverge,73,1.258
3503,harmful,1514,1.258
4895,sweep,71,1.258
8628,slogan,377,1.258
9829,coke,31,1.258
2365,force,16011,1.257
3159,adjust,822,1.257
4204,imped,53,1.257
4827,lecture,99,1.257
7812,imbue,39,1.257
2048,repeatedly,984,1.256
2491,damaging,505,1.256
5336,legitimise,202,1.255
6748,uprising,258,1.255
10785,sheikh,88,1.255
2220,around,4808,1.254
5827,cross,1207,1.254
6529,sighted,74,1.254
6921,fly,1212,1.254
1663,expense,1893,1.253
6337,disgusting,72,1.253
1237,thrilled,48,1.252
1437,outrageous,244,1.252
3549,pan,59,1.252
3873,spot,151,1.252
4376,male,948,1.252
8797,choke,33,1.252
10460,interlink,50,1.252
2092,miss,780,1.251
264,undergo,219,1.25
4693,emphatic,51,1.25
9932,pipeline,483,1.25
271,field,11062,1.249
469,backward,106,1.249
1113,higher,3544,1.249
7793,decay,54,1.249
897,unfortunately,7422,1.248
3259,tape,452,1.248
5404,redirect,77,1.248
89,why,26041,1.246
418,push,927,1.246
2081,tackle,3626,1.246
2152,wave,1153,1.246
2871,merge,210,1.246
8305,overestimate,94,1.246
4842,rift,45,1.245
8915,intimidating,61,1.245
211,actually,10697,1.244
4115,handling,251,1.243
265,respect,18827,1.242
8119,boom,169,1.242
8198,prescribe,277,1.242
5301,square,417,1.241
4281,deprived,126,1.24
4718,stall,51,1.24
5044,blatantly,72,1.24
5481,nomination,312,1.24
358,raise,5926,1.239
476,relevant,3493,1.239
1431,strengthen,9663,1.239
5427,quarrel,42,1.239
43,over,12949,1.238
1158,mistaken,371,1.238
90,those,25893,1.237
254,discuss,10766,1.237
4706,nut,245,1.237
9082,deregulate,141,1.237
1019,hold,4919,1.236
1078,apparent,607,1.236
194,any,32590,1.235
4896,creep,47,1.235
6454,food,13317,1.235
13023,hooligan,53,1.235
6232,"3 , 000",142,1.234
3935,shot,152,1.233
6005,capture,664,1.233
3464,nurture,91,1.232
6304,wallet,56,1.232
2166,remove,2877,1.231
12967,1 . 5,336,1.231
193,certain,18053,1.23
4675,eager,77,1.23
29,delay,4217,1.229
5480,chat,118,1.229
13145,post - communist,51,1.229
406,extent,3217,1.227
9605,reign,132,1.227
10214,hammer,62,1.227
3262,cool,400,1.225
3814,waste,4417,1.225
4198,prolong,261,1.225
6468,encryption,115,1.225
8252,toilet,115,1.225
11,house,20110,1.224
1506,unprecedented,90,1.224
2777,fuell,106,1.224
3446,ease,246,1.224
5982,fluctuate,94,1.223
172,succeed,2625,1.222
60,you,105013,1.221
4050,resolutely,149,1.221
5546,mate,102,1.22
8171,whistle,74,1.22
9080,roam,127,1.22
13576,reprimand,54,1.219
1307,secure,3153,1.218
3277,harshly,43,1.218
11271,excited,387,1.218
13276,irreplaceable,127,1.218
199,sum,2067,1.217
2067,work,65062,1.217
2471,frequently,1216,1.217
2660,congratulation,1356,1.215
3520,hide,1204,1.214
3761,arena,204,1.214
2375,- -,2713,1.213
3428,finance,4753,1.213
4016,conditional,383,1.213
1489,chart,166,1.212
2565,curtail,111,1.212
5490,bail,115,1.212
7430,disconnect,137,1.212
419,lobby,336,1.211
7194,pit,71,1.211
7547,sheep,470,1.211
2447,classify,436,1.21
5654,overtake,58,1.21
14712,crow,80,1.21
726,shame,797,1.209
5754,1 . 4,102,1.209
8967,u . s .,189,1.209
3363,relaxed,115,1.208
9261,eviction,64,1.208
282,clearly,12771,1.207
972,overall,4456,1.207
1363,board,986,1.207
4235,intentionally,88,1.207
6820,mill,94,1.207
7267,unintended,44,1.207
5971,spill,121,1.206
1879,supply,4449,1.205
3828,decisively,157,1.205
2182,advertise,124,1.204
7036,courageously,67,1.204
2476,prevalent,83,1.203
2740,remarkable,742,1.203
3521,bury,360,1.203
1442,embarrassed,96,1.202
1651,maker,105,1.202
2154,stream,441,1.202
8129,dress,275,1.202
14784,2 . 4,80,1.202
288,undoubtedly,681,1.201
5748,unleash,111,1.201
738,glad,1685,1.2
5544,discriminate,772,1.2
378,home,6428,1.199
4667,label,1695,1.199
7126,deck,81,1.199
11783,zimbabwean,150,1.199
1820,ready,3080,1.197
2125,load,289,1.197
9323,collusion,84,1.197
804,fish,2822,1.196
3821,defeat,571,1.196
536,endeavour,646,1.195
7341,plague,141,1.195
213,genuine,3341,1.193
485,advisable,220,1.193
214,TRUE,8248,1.192
5255,bankrupt,127,1.192
10646,jeans,51,1.192
44,at,100921,1.191
1180,suspect,763,1.191
1321,stick,246,1.191
4570,perpetrate,341,1.191
5514,falsify,151,1.191
5902,guardian,613,1.191
7166,hastily,46,1.191
9541,fragment,196,1.191
20156,purple,72,1.191
1049,prepare,5867,1.19
1658,grasp,188,1.189
731,table,7609,1.188
3264,weather,361,1.188
8901,extinct,98,1.188
13958,dance,501,1.188
572,finish,1532,1.187
1100,rightly,2453,1.187
3388,prevent,11889,1.186
2285,practicable,131,1.185
6464,codify,303,1.185
7716,broadcasters,84,1.185
995,guess,370,1.184
1792,essentially,1623,1.184
793,core,862,1.183
1978,operate,3341,1.183
2559,renovate,94,1.183
2938,alert,539,1.183
3174,futile,121,1.183
5676,block,2246,1.183
8178,victor,101,1.183
315,mep,838,1.182
8535,yasser,86,1.182
1175,incorrectly,106,1.181
6349,unify,266,1.181
2264,sorry,925,1.18
2886,likely,2198,1.18
11603,rwandan,64,1.18
16667,secularism,72,1.18
2612,disposal,1243,1.178
4509,cent,656,1.177
12362,1 . 2,152,1.177
2211,shut,390,1.176
143,bug,80,1.175
1798,largely,292,1.175
2620,transfer,4169,1.175
3210,attributable,126,1.175
1643,happen,14890,1.174
1723,customary,183,1.174
1930,comprise,235,1.174
1331,bill,1003,1.173
1734,foster,858,1.171
4479,dissociate,78,1.171
8130,costume,49,1.171
8365,mining,502,1.171
2075,entrust,415,1.17
3554,location,701,1.17
11229,unforeseen,134,1.169
1914,tariff,1213,1.168
3234,deposit,373,1.168
5689,banner,109,1.168
9104,sudden,557,1.168
10167,memorial,156,1.168
944,duty,2530,1.167
1148,specific,14210,1.167
1939,borne,109,1.166
3160,tailor,148,1.166
3853,secretarial,76,1.165
5056,underground,132,1.165
6008,grab,131,1.165
4,reopen,197,1.164
197,amount,5597,1.164
3646,despair,187,1.164
259,point,35372,1.163
1763,commit,2917,1.163
4730,injure,471,1.163
992,presume,152,1.162
1706,hand,11600,1.162
4880,exhaust,334,1.162
520,carry,6893,1.161
1929,consist,1031,1.161
3360,relax,182,1.161
4698,dam,222,1.161
5505,oppress,307,1.161
6684,eligibility,305,1.161
7645,irradiate,82,1.16
435,kill,2351,1.159
6878,sympathy,572,1.158
9568,passionately,73,1.158
824,inconvenience,121,1.157
1199,base,14014,1.157
1904,assumption,300,1.156
23364,blogger,66,1.156
4480,depart,92,1.155
9276,mount,107,1.155
3336,charitable,48,1.154
4458,worthy,811,1.154
2302,appropriately,245,1.153
8613,multidisciplinary,96,1.153
10142,paedophile,159,1.153
439,crime,6064,1.151
14795,2 . 3,74,1.151
3377,streamline,229,1.15
6910,vet,84,1.15
9882,kidnap,355,1.15
18230,sophia,42,1.15
4059,resounding,96,1.149
1159,misguided,145,1.147
2043,occupy,1427,1.147
3679,deepen,470,1.147
339,relate,6451,1.146
2378,distort,830,1.146
3625,strengthening,1126,1.146
30,postpone,1226,1.145
5060,unquestionable,123,1.145
6171,punish,1067,1.145
2294,complement,973,1.144
8769,harass,134,1.144
1355,setting,669,1.143
7906,language,8644,1.143
8327,burnt,87,1.143
5516,"5 , 000",136,1.141
1660,leverage,126,1.14
5845,deviate,140,1.14
4714,stagnate,80,1.138
5163,detract,67,1.138
7506,p,92,1.138
2800,transcend,125,1.137
3433,coordinate,4378,1.136
10951,rhine,89,1.136
14349,orange,251,1.136
144,issue,52577,1.134
2969,promptly,107,1.134
135,consideration,4465,1.133
7000,outrage,191,1.133
9852,censor,129,1.133
1177,blame,1103,1.132
1367,flame,202,1.132
4058,compelling,115,1.132
3125,embark,508,1.131
6996,disgust,92,1.131
9601,uproot,51,1.131
1440,unhappy,136,1.13
6637,converge,125,1.13
7482,loop,110,1.13
12899,collector,50,1.13
1764,pledge,536,1.129
13024,hooliganism,65,1.128
920,exist,13821,1.127
4309,rescue,852,1.127
7588,chicken,323,1.126
69,there,31701,1.125
1052,drawing,365,1.125
2659,compliment,381,1.125
8587,stack,99,1.125
5389,imprisonment,331,1.124
6129,prevalence,92,1.124
8890,broker,80,1.124
422,tv,831,1.123
3111,alignment,129,1.123
3448,relieved,82,1.123
4926,manufacture,870,1.123
5744,deter,127,1.123
5846,divert,205,1.123
13790,clone,422,1.123
1194,finding,552,1.122
1873,clarification,1239,1.122
2558,renew,1097,1.121
4729,handicapped,77,1.121
617,standard,6987,1.12
967,continue,20330,1.12
844,simpler,315,1.119
1089,environmentally,1075,1.119
230,awful,191,1.118
1587,extensive,1041,1.118
1686,late,2517,1.118
2402,piece,1345,1.118
5950,film,1542,1.118
1161,ill,458,1.117
