,words,amounts,entropies
1881,anticipate,480,1.858
3544,suit,156,1.857
8693,star,467,1.856
6489,sheet,126,1.854
715,go,9052,1.853
793,early,2015,1.853
5007,pollute,254,1.848
6869,catch,301,1.847
5372,fool,52,1.845
1641,self,892,1.843
2386,prompt,202,1.843
4074,ring,71,1.841
1887,laugh,194,1.839
386,stick,264,1.837
3533,hide,582,1.837
1245,test,2041,1.834
1244,review,2715,1.831
2161,capture,132,1.831
9941,breathe,151,1.828
2531,dismantle,177,1.825
3457,relieve,114,1.823
9725,maize,213,1.823
803,essential,6847,1.819
2266,distort,387,1.819
1445,emerge,1344,1.817
162,identify,1621,1.816
2626,terrible,465,1.81
3536,obscure,104,1.805
5836,questionable,207,1.802
4783,club,225,1.801
7991,protein,460,1.8
719,run,775,1.798
9226,dress,86,1.796
235,actually,5650,1.795
770,fill,700,1.793
3722,wipe,77,1.792
977,burden,2309,1.791
2037,drop,427,1.79
9282,guest,148,1.789
642,indicate,1501,1.788
1151,move,3721,1.784
3341,seize,230,1.782
360,grow,2689,1.781
831,reverse,565,1.78
443,explode,94,1.779
1874,fund,12950,1.779
5561,alien,165,1.779
2903,communicate,451,1.778
5020,alert,140,1.778
1134,update,462,1.776
7443,sit,525,1.775
2682,specialised,175,1.77
313,seek,3224,1.768
3832,lift,339,1.767
2395,crash,83,1.765
1780,found,412,1.764
527,wise,346,1.762
3686,supervisor,121,1.756
3390,prevent,6234,1.755
2351,match,293,1.754
1021,leave,5044,1.753
720,conclude,3166,1.752
3867,disregard,397,1.75
3843,division,487,1.749
378,keep,3753,1.746
3534,disguise,71,1.744
665,concerned,2550,1.743
1088,firmly,582,1.743
5868,steal,146,1.742
436,broadcasting,168,1.741
1342,guarantee,7973,1.739
1854,repair,276,1.739
3718,inspire,381,1.738
2417,hurt,143,1.737
2284,variation,147,1.732
2515,remote,185,1.732
3567,install,186,1.732
1550,govern,817,1.731
3475,undeniable,136,1.731
392,follow,10150,1.73
1843,duplicate,54,1.73
7900,dry,101,1.73
444,outbreak,227,1.729
10078,bell,85,1.727
1596,admission,181,1.726
7646,textile,483,1.724
130,glad,562,1.723
1853,rebuild,249,1.722
2045,abstain,1039,1.719
1053,draw,2978,1.718
2529,burst,47,1.718
2033,removal,501,1.715
3314,embarrassing,74,1.715
4997,edge,150,1.715
3349,farm,491,1.714
4829,hire,142,1.714
255,on,136678,1.713
408,rank,121,1.713
2824,pend,64,1.713
1316,sharply,63,1.709
2930,notify,177,1.708
6687,astonished,92,1.706
560,get,3031,1.704
3169,redundant,328,1.701
6793,bypass,118,1.701
12822,dance,230,1.698
186,deliver,420,1.697
4917,distress,48,1.697
2303,departure,198,1.695
1723,work,36055,1.694
4936,atrocity,215,1.693
544,print,221,1.692
4139,suspect,298,1.691
2471,reconstruct,62,1.689
5774,intermediary,119,1.682
70,disruption,185,1.681
1333,provide,13720,1.681
9812,bottle,147,1.68
12128,swim,79,1.68
316,demand,6744,1.679
1037,complain,350,1.679
2283,widespread,557,1.679
4249,paramount,73,1.679
1056,train,908,1.678
1967,deprive,403,1.678
6033,store,471,1.675
219,turn,2404,1.673
306,present,10700,1.672
5077,precedence,87,1.672
1927,treatment,2658,1.669
2630,horrific,101,1.669
3846,spread,873,1.669
699,lay,1833,1.668
1833,label,734,1.668
13483,muscle,188,1.666
2224,tour,71,1.664
2415,detrimental,252,1.664
3294,guess,119,1.662
7174,supermarket,120,1.662
768,perform,382,1.661
1971,sense,3591,1.661
4619,fruit,616,1.661
7988,christmas,483,1.661
776,fall,2372,1.66
3386,rush,67,1.658
6539,harvest,95,1.658
1120,clearly,5345,1.657
2681,subsidise,232,1.657
7349,marry,243,1.657
9956,gay,204,1.657
154,therefore,27541,1.654
2380,join,1973,1.654
5458,rescue,282,1.654
15821,amazon,133,1.653
4825,recruit,137,1.652
5828,supposedly,164,1.652
10070,hang,68,1.651
1187,FALSE,371,1.649
523,fit,319,1.648
10349,reward,189,1.647
193,conduct,2093,1.646
5848,disclosure,125,1.646
713,reach,4325,1.644
1849,revive,162,1.643
2271,extend,3242,1.643
7217,deliberately,310,1.642
3241,tanker,66,1.641
309,short,1819,1.64
2701,game,1667,1.64
6856,nerve,87,1.64
1485,current,7795,1.639
718,derive,305,1.638
833,upset,90,1.638
4600,populate,90,1.637
5004,uncomfortable,110,1.636
2106,close,3862,1.635
11041,boycott,114,1.635
4467,burn,228,1.634
7536,shake,118,1.634
583,reconcile,487,1.63
2534,dilute,58,1.63
518,correct,2169,1.628
1012,effect,7013,1.626
2312,equity,144,1.624
2987,sceptical,204,1.624
4379,pioneer,140,1.624
1108,display,212,1.623
187,realise,1326,1.621
1065,out,2625,1.621
7995,joke,88,1.618
898,equate,105,1.617
1587,foster,264,1.617
4973,brand,96,1.617
326,any,16951,1.616
1403,acute,145,1.616
2078,compensate,487,1.616
1705,supply,1784,1.615
8183,ritual,85,1.615
1055,prepare,2605,1.613
5254,beef,567,1.613
1949,displace,310,1.612
2617,magnificent,118,1.612
9653,reprehensible,66,1.612
1472,surgery,182,1.611
4476,unregulated,104,1.608
701,address,4151,1.607
1071,care,2757,1.607
1965,deprived,149,1.606
536,equivalent,494,1.605
5168,double,949,1.605
8676,elevate,27,1.605
119,prepared,2213,1.603
357,raise,2503,1.602
3112,jump,51,1.601
12313,smile,217,1.601
3477,undisputed,37,1.6
4770,pilot,303,1.6
60,cut,2968,1.599
2677,relinquish,33,1.597
1043,ultimate,391,1.596
5310,mate,46,1.596
9315,sleep,454,1.595
777,decline,644,1.594
2356,settle,331,1.594
2861,rid,137,1.592
3921,regenerate,36,1.592
62,suspend,643,1.591
335,above,4277,1.591
652,advise,295,1.591
2459,subsequent,164,1.589
5834,dubious,194,1.589
6690,surprisingly,83,1.589
4146,signatory,239,1.588
11626,viewer,107,1.587
1983,awesome,94,1.586
161,note,2693,1.585
2017,yield,205,1.584
2607,land,1155,1.584
370,college,692,1.583
9187,inch,73,1.583
3616,poorly,82,1.582
2795,port,1178,1.581
690,fifth,929,1.58
1463,older,329,1.578
6338,substitute,336,1.578
4156,committed,556,1.576
2156,drink,382,1.575
5434,courageous,340,1.574
564,whatever,1384,1.573
142,fine,739,1.572
3863,escape,352,1.572
201,individual,3710,1.571
1503,celebration,181,1.571
1086,constant,965,1.57
1464,oldest,165,1.57
3676,calm,160,1.57
4002,steering,66,1.57
2086,headline,191,1.568
1215,recipient,264,1.567
5398,sabotage,44,1.567
6170,mediate,58,1.567
2073,excess,220,1.566
85,back,3566,1.564
9572,cage,115,1.564
1394,confident,512,1.563
176,succeed,1322,1.562
1660,integrate,2317,1.562
10747,alp,83,1.562
353,urge,1388,1.56
2048,estimate,1682,1.558
3615,wrongly,104,1.558
763,treat,1037,1.557
2141,enforceable,42,1.556
2257,teacher,743,1.556
2635,horrendous,64,1.556
9266,chechen,56,1.556
1118,pay,5726,1.554
1936,fight,5933,1.554
4851,abduct,49,1.554
1855,recover,398,1.553
2432,guide,709,1.553
2571,seal,158,1.553
3290,brutal,197,1.553
2721,sad,329,1.552
3394,block,588,1.552
4406,distinct,82,1.552
1840,occupy,477,1.551
3604,offset,146,1.551
4685,spin,32,1.551
11520,ray,93,1.55
189,hold,2436,1.549
3367,vary,544,1.548
628,although,6747,1.547
1176,settlement,630,1.547
2628,awful,96,1.547
3831,waive,72,1.546
646,demonstrate,3309,1.545
1973,reasoning,128,1.543
2620,extraordinary,773,1.542
1586,disadvantaged,403,1.541
3726,eliminate,1263,1.54
5002,awkward,38,1.54
11680,rent,63,1.54
2272,enlarge,594,1.539
3148,consolidation,454,1.539
5027,triumph,70,1.539
2567,sorry,482,1.538
1402,heavy,610,1.537
5064,cord,79,1.537
4122,controversy,207,1.536
1526,virtue,187,1.535
4215,individually,213,1.535
209,figure,2525,1.534
9828,shot,44,1.534
2786,disclose,119,1.532
686,link,3718,1.531
1282,praise,262,1.529
3605,counterbalance,58,1.529
2094,ongoing,837,1.527
2658,crush,52,1.526
8684,oppress,147,1.525
846,act,6303,1.524
2718,shame,444,1.524
2719,unfortunate,614,1.524
2034,depart,69,1.522
6450,square,181,1.522
2217,freight,124,1.52
3027,incomplete,118,1.519
6952,trafficker,167,1.519
2154,alcohol,568,1.518
3036,amazing,695,1.518
3538,mask,55,1.517
5277,maker,68,1.517
5728,scottish,88,1.517
1100,firm,1426,1.516
11299,multilingual,89,1.516
1744,website,648,1.515
3397,outweigh,48,1.515
3476,indisputable,81,1.515
4365,inconsistent,140,1.515
4548,worthy,443,1.515
6967,calmly,52,1.515
1258,recall,1017,1.514
382,uphold,191,1.513
25,term,7893,1.512
1296,route,988,1.512
636,deal,4627,1.511
2066,unequivocally,105,1.51
3474,unquestionable,62,1.51
4857,troubled,57,1.509
3373,healthy,1353,1.506
6652,bar,144,1.506
8239,glass,241,1.506
2801,japanese,53,1.505
8618,grain,49,1.505
3139,league,70,1.503
6272,mentally,47,1.503
1966,deny,878,1.502
2422,breakdown,106,1.502
7531,scan,75,1.502
9428,scanner,91,1.502
9573,iron,75,1.502
1656,clarify,1741,1.501
1819,distinguish,371,1.5
5006,dirty,104,1.5
12602,rat,80,1.499
3302,transform,670,1.498
40,it,67918,1.497
3775,farmer,3539,1.497
2638,shocking,235,1.496
4718,unbearable,59,1.495
8664,disconnect,44,1.495
614,completely,3794,1.494
1074,crucial,2732,1.493
2018,manufacture,385,1.493
166,determine,1836,1.492
2738,urgency,441,1.492
1852,reintroduce,98,1.49
5959,motivate,118,1.49
7,reopen,65,1.489
88,once,2062,1.489
244,represent,5563,1.489
753,applicable,668,1.488
8269,flow,681,1.488
1654,justification,530,1.487
2618,splendid,72,1.487
5920,heaven,72,1.487
6686,surprised,309,1.487
758,obtain,900,1.486
2663,airlines,264,1.486
6779,fake,113,1.486
950,path,1699,1.485
5218,nitrate,85,1.483
10595,clone,253,1.483
1470,intervene,991,1.482
2102,perceive,228,1.48
3410,intensify,382,1.48
10758,acid,81,1.48
2157,lengthy,282,1.479
1743,online,794,1.478
2297,dispute,1171,1.478
3487,empty,338,1.478
6011,liberalise,283,1.478
9700,fat,196,1.478
1303,support,35138,1.477
2412,suffer,1977,1.477
5974,angry,138,1.477
188,fulfil,1915,1.475
2528,crack,63,1.475
2955,heartfelt,104,1.475
911,timing,152,1.474
1953,switch,160,1.472
1003,power,9292,1.471
4340,multiply,169,1.471
968,total,2771,1.47
2830,load,66,1.469
4233,simplified,190,1.469
4995,wing,143,1.469
10660,lebanese,92,1.468
90,occasion,1942,1.467
2414,damaging,205,1.467
2727,feeling,1248,1.467
754,table,3673,1.466
992,chair,336,1.466
577,strive,401,1.465
1308,boost,616,1.464
4024,subsidiary,128,1.464
2481,fire,1170,1.463
2755,collect,857,1.463
414,awareness,1083,1.462
633,accept,7270,1.462
2661,air,2326,1.462
3842,distribute,892,1.461
4655,backbone,83,1.461
3375,united,5341,1.46
19110,chimpanzee,103,1.457
157,because,48661,1.456
3094,factual,67,1.456
4971,renounce,87,1.456
7827,hen,65,1.456
241,TRUE,4629,1.455
631,consistent,451,1.455
870,long,3724,1.453
1787,designate,191,1.453
2592,straight,173,1.453
7356,hunt,286,1.453
867,ordinary,860,1.452
1063,extract,84,1.45
2466,wake,230,1.449
3382,financial,19439,1.448
8188,artist,799,1.447
406,intend,2640,1.446
5334,fragmented,143,1.446
464,too,6626,1.445
998,ruler,55,1.445
1343,secure,1973,1.445
1600,pledge,410,1.445
379,comply,2135,1.444
2900,transmit,245,1.444
6817,seeker,451,1.444
8530,selfish,90,1.444
2100,understand,6858,1.442
2725,pointless,143,1.442
3395,exceed,864,1.442
4878,constituent,246,1.442
1964,missing,184,1.441
677,reflection,457,1.44
7826,chicken,156,1.44
3311,disturbance,92,1.439
5408,ashamed,78,1.439
368,quiet,105,1.438
4374,streamline,74,1.438
2541,disintegration,64,1.437
5995,editor,76,1.437
9499,bankrupt,109,1.436
570,probably,2894,1.435
2761,cast,51,1.435
1884,away,943,1.434
4229,simplify,1651,1.434
5614,pride,167,1.434
6892,livestock,277,1.433
1093,permanently,180,1.432
1620,player,1247,1.432
2237,domestic,793,1.432
5065,column,91,1.432
6430,recycle,211,1.432
7278,genius,49,1.432
8713,graduate,188,1.43
3182,prolong,132,1.429
1779,count,729,1.426
8081,cartoon,71,1.426
3698,defect,91,1.425
7003,deregulate,60,1.424
1275,fortunate,168,1.423
8510,suppress,101,1.423
1617,operator,561,1.422
9116,drag,54,1.422
1241,wonder,1603,1.419
1762,counter,277,1.419
10,relaunch,78,1.418
1301,divert,64,1.418
12528,lion,140,1.418
2513,roll,138,1.417
2580,quickly,3749,1.417
5970,outrage,83,1.417
1418,incompatible,312,1.416
5657,tear,159,1.416
7396,overlap,100,1.415
223,sufficient,1553,1.412
3683,supervise,240,1.412
4940,aforementioned,109,1.412
16918,redesign,54,1.412
1742,web,296,1.411
1959,shortcoming,880,1.411
1577,customary,79,1.41
2285,diversity,1843,1.41
190,occur,1222,1.409
416,conscious,136,1.409
2583,faster,531,1.409
3249,forge,82,1.409
3053,sympathy,503,1.408
8524,hungry,95,1.407
11638,grape,51,1.407
393,listen,1733,1.405
5590,deaf,74,1.405
1016,stay,1344,1.404
756,produce,3270,1.403
1632,define,2555,1.403
1160,direct,2262,1.401
1505,occurrence,107,1.401
2146,serve,1634,1.401
2684,merit,277,1.399
3638,donor,870,1.398
1665,expire,227,1.397
257,over,4604,1.395
8048,auction,129,1.395
1051,vote,27300,1.394
6528,landfill,110,1.394
6765,fan,85,1.393
970,comprehensive,1715,1.392
3693,farming,857,1.392
8058,armenian,126,1.392
1567,track,359,1.391
9207,satellite,456,1.389
1644,pave,297,1.388
2113,closest,131,1.388
3203,quantify,111,1.388
1704,grant,2287,1.387
4594,20th,397,1.387
1674,potential,2973,1.386
5849,tweet,28,1.386
2298,discrepancy,282,1.385
1825,detect,326,1.384
2552,educated,163,1.384
2703,struggle,1006,1.384
3859,squander,54,1.384
6099,practitioner,44,1.384
3315,disruptive,23,1.383
5469,enthusiast,22,1.382
215,most,16933,1.381
1247,testing,160,1.381
1633,specify,537,1.381
2573,exclude,1348,1.381
5400,frank,71,1.381
6485,destiny,125,1.381
7397,overlapping,41,1.381
9933,afghan,476,1.381
2112,closer,908,1.38
2890,amount,3398,1.38
982,premise,30,1.379
1766,surprising,290,1.379
3061,unrealistic,168,1.379
9994,overestimate,56,1.379
707,arise,1634,1.377
1070,focus,3531,1.377
5983,fisherman,26,1.377
7273,intelligent,226,1.377
7588,outmoded,25,1.377
319,claim,1451,1.376
1446,pop,68,1.375
2676,confer,126,1.374
5510,ballot,32,1.374
5511,lock,113,1.374
248,exist,6910,1.373
516,right,18028,1.373
5193,pick,182,1.373
3911,uk,261,1.372
323,whole,8745,1.371
5088,quotation,42,1.371
8103,fierce,26,1.371
1539,part,15357,1.37
4178,redistribute,68,1.37
9015,unspeakable,33,1.37
9140,wood,240,1.37
3427,hardship,41,1.369
1408,sharp,67,1.368
4411,manipulate,124,1.368
4993,male,320,1.368
7542,dad,242,1.368
13167,quartet,153,1.368
3629,suffering,491,1.367
7333,colonisation,46,1.367
8354,scholar,30,1.367
12597,liver,27,1.367
491,need,58985,1.365
1156,cross,541,1.365
4020,subjugate,25,1.365
4404,trick,150,1.365
1378,fundamentally,310,1.364
2874,outrageous,194,1.364
4056,thrive,49,1.364
640,put,5998,1.363
843,legitimate,1130,1.363
3468,allay,23,1.363
5718,telephone,403,1.363
113,what,47199,1.362
329,particularly,15044,1.362
5228,feed,499,1.362
6317,haven,208,1.362
2304,differential,35,1.361
2904,elapse,54,1.361
9440,mad,26,1.361
608,shape,986,1.36
7638,millimeter,35,1.36
9228,clothing,143,1.36
12884,lgbt,35,1.36
649,hint,26,1.359
696,bring,4124,1.359
1399,strongly,978,1.359
2123,grasp,90,1.359
1412,enthusiastic,144,1.358
3992,comprehensively,31,1.358
7666,mockery,31,1.358
152,as,112614,1.357
4014,african,337,1.357
5891,oh,227,1.357
6834,gloomy,40,1.356
12120,seychelles,79,1.356
2637,horrible,42,1.355
2909,officer,267,1.355
4048,sign,3714,1.355
7643,predator,52,1.355
8305,indigenous,248,1.355
5,duplication,152,1.354
787,rather,4206,1.354
7079,cypriot,122,1.354
8603,intelligence,213,1.354
211,more,50598,1.353
253,talk,6775,1.353
445,bang,45,1.353
1103,fix,398,1.353
8900,normalise,31,1.353
463,quite,3830,1.352
1552,baron,28,1.352
10080,twelfth,28,1.352
836,disrupt,105,1.351
2770,west,774,1.35
13679,arthur,39,1.35
3401,negotiate,2262,1.349
3864,fle,109,1.349
1806,package,2359,1.348
9603,defuse,31,1.348
610,entirely,1860,1.347
1925,involved,2421,1.347
373,room,1723,1.346
1614,instrument,7491,1.346
8100,wild,164,1.346
9702,thick,46,1.346
332,especially,10614,1.345
854,familiar,348,1.345
1026,sustain,284,1.345
6423,motor,336,1.345
6436,etc .,529,1.345
7580,repay,41,1.345
10144,bone,99,1.345
3042,remarkable,473,1.344
4994,husband,317,1.344
8159,imaginative,45,1.344
270,question,28056,1.343
1469,contribution,4719,1.343
1942,relocate,155,1.343
2321,defence,1267,1.343
399,end,11592,1.342
5705,unconditional,129,1.342
6140,mineral,73,1.342
12093,betrayed,27,1.342
1830,describe,1685,1.341
12385,vojvodina,72,1.341
685,connect,936,1.34
10779,sculpture,56,1.34
17754,dolly,26,1.34
1050,authorisation,813,1.338
2411,strike,653,1.338
7451,pile,45,1.338
9070,float,54,1.338
9338,fighter,80,1.338
2756,gather,477,1.337
3388,cease,465,1.337
1348,gain,1417,1.336
2991,reluctant,135,1.336
3810,mirror,73,1.336
6880,identical,186,1.336
1027,preserve,1357,1.335
5795,residential,65,1.335
11039,sunshine,28,1.335
11094,creditor,175,1.335
9,revival,113,1.334
159,observe,1037,1.334
3541,hidden,177,1.334
5829,allegedly,69,1.334
2370,designation,176,1.333
3259,compelling,50,1.333
4741,depressing,64,1.333
5994,author,844,1.333
5406,shameful,210,1.332
534,accordingly,382,1.331
2917,tighten,121,1.331
3734,advantageous,63,1.331
46,consider,6732,1.33
6679,statutory,33,1.33
8771,molucca,50,1.33
10685,paul,186,1.33
6727,mary,117,1.329
3007,swedish,1770,1.328
1122,unequivocal,89,1.327
3821,profitable,250,1.327
4207,promise,2486,1.327
275,undergo,75,1.326
926,juvenile,91,1.326
5010,irreversible,125,1.326
1300,highway,81,1.325
3591,livelihood,121,1.325
4532,foreseeable,90,1.325
5921,god,699,1.325
6908,jews,171,1.325
2364,abuse,1625,1.324
5669,opposing,44,1.324
6008,release,1120,1.324
9397,dream,973,1.324
122,allocate,1064,1.323
2292,fluctuate,40,1.323
3892,weigh,189,1.323
4164,stake,37,1.323
5015,penetrate,62,1.323
7590,obsolete,106,1.323
10941,orange,92,1.323
16927,ccctb,67,1.323
3719,inspiring,57,1.322
703,touch,555,1.321
5144,caution,78,1.321
5610,rubbish,52,1.321
7186,mortgage,58,1.321
9445,swallow,47,1.321
10597,murderer,127,1.321
2697,gear,184,1.32
2855,withstand,86,1.32
11400,separatist,79,1.32
220,range,1093,1.319
1560,certainly,4802,1.319
4422,flout,47,1.319
5865,danish,667,1.319
5882,sensibly,56,1.319
1238,maritime,1594,1.318
383,respected,1360,1.317
9467,primate,39,1.317
1926,engage,550,1.316
3986,prosperous,216,1.316
10090,wheat,94,1.316
3916,heart,1784,1.315
10141,dissident,149,1.315
10620,aerospace,122,1.315
44,regard,17412,1.314
10152,gypsie,35,1.314
420,mind,2854,1.313
5097,vulnerability,128,1.313
7908,cooperative,203,1.313
7992,flander,46,1.313
8667,cruelty,82,1.313
222,enough,4642,1.312
572,likely,1280,1.312
2500,quit,47,1.312
4112,travel,1851,1.312
7745,shelter,178,1.312
8696,endless,128,1.312
8846,survivor,112,1.312
4739,distressing,32,1.311
5257,poultry,102,1.311
10041,finger,92,1.311
135,nice,433,1.31
5730,roof,105,1.31
5300,scarce,73,1.308
143,wonderful,601,1.307
3990,thorough,249,1.307
4812,apologize,47,1.307
9648,latvian,95,1.307
4031,upheaval,86,1.306
49,wish,10604,1.305
2578,net,286,1.305
4720,tolerate,306,1.305
1718,tariff,361,1.304
4076,beaten,36,1.304
1155,spend,1390,1.303
2732,critical,1509,1.303
3310,irritation,32,1.303
3776,breeder,58,1.303
5126,engineering,155,1.303
5631,remains,39,1.303
563,anything,2303,1.302
889,launch,1157,1.302
4077,beat,112,1.302
4380,pioneering,79,1.302
559,make,24092,1.301
741,sentence,739,1.301
1059,compile,97,1.301
3508,successful,2653,1.301
6031,albanians,181,1.301
2362,offence,690,1.3
4333,active,2449,1.3
9349,unfold,84,1.3
411,informed,442,1.299
1391,convinced,2594,1.299
4874,fourteen,111,1.299
4895,elector,53,1.299
11788,olive,86,1.299
12125,vibrate,30,1.299
2252,arrange,82,1.297
1829,mark,845,1.296
2056,computerise,36,1.296
3177,ambiguous,154,1.296
5572,reign,59,1.296
5843,fragile,324,1.296
15286,monkey,103,1.296
322,everything,4673,1.295
2016,borne,70,1.295
3634,pattern,165,1.295
175,manage,2818,1.294
2965,fruitful,243,1.294
4355,emphatically,76,1.294
5281,baby,578,1.294
1944,movement,4718,1.293
2753,concentrate,1406,1.293
5468,defender,276,1.293
11917,unused,57,1.293
395,attend,464,1.292
1123,unambiguous,65,1.292
4025,secondary,313,1.292
2403,root,524,1.291
6944,populist,44,1.291
9121,ferry,45,1.291
3849,noticeable,51,1.29
5333,fragment,51,1.29
3858,slip,39,1.289
4740,pathetic,39,1.289
8715,instructor,31,1.289
2163,file,197,1.288
1504,incident,727,1.287
8413,printing,97,1.287
619,altogether,86,1.286
683,related,1240,1.286
704,generate,882,1.286
5092,fragility,49,1.286
2338,deeply,600,1.285
5819,cancel,270,1.285
6478,incinerator,54,1.285
11117,kidney,71,1.285
1629,prescribe,60,1.284
1978,preach,38,1.284
2253,host,215,1.284
3515,dissatisfied,61,1.284
3942,displacement,76,1.284
4550,commendable,127,1.284
5141,gut,31,1.284
2387,welcome,6662,1.283
7993,flanders,71,1.283
17203,annapolis,33,1.283
11933,navigate,39,1.282
2228,harmonise,1463,1.281
6250,sweet,86,1.281
6890,feeding,35,1.28
8105,brutally,54,1.28
3845,disseminate,163,1.279
517,properly,1470,1.278
7107,50th,137,1.278
7421,elementary,43,1.278
146,lovely,66,1.277
2817,container,64,1.277
9955,homosexual,239,1.277
1767,odd,202,1.276
2339,forcefully,62,1.276
3232,warming,277,1.276
2028,flaw,128,1.275
2344,vigorously,126,1.275
7060,explore,457,1.275
12455,elizabeth,46,1.275
1189,misguided,67,1.274
1406,vigorous,104,1.274
5559,globe,106,1.274
8654,interconnected,72,1.274
1909,accountable,219,1.273
6966,silent,103,1.273
9379,ukrainian,298,1.273
12,restart,53,1.272
2389,welcoming,119,1.272
4170,delete,396,1.272
5028,brother,477,1.272
785,declare,980,1.271
1424,panel,151,1.271
1848,reinstate,94,1.271
5112,killer,51,1.271
3467,mitigating,51,1.27
645,show,10185,1.269
3392,hinder,259,1.269
8872,captain,83,1.269
1657,clarification,761,1.268
1918,ppe - de,56,1.268
2906,official,2982,1.268
3725,waste,3533,1.268
2323,argue,631,1.267
3869,overcome,1319,1.267
5719,phone,518,1.267
5739,pre - empt,37,1.267
1968,strip,71,1.266
7102,email,111,1.266
13894,download,65,1.266
3599,welfare,977,1.265
1862,return,2970,1.264
2029,seattle,140,1.264
2586,fast,747,1.264
691,then,13279,1.263
862,slightly,674,1.263
4472,invention,275,1.263
4763,fly,313,1.263
5820,revoke,54,1.262
289,against,15702,1.261
679,interest,12636,1.261
716,due,3625,1.261
1618,actor,550,1.261
1911,fault,97,1.261
8251,cyanide,149,1.261
5474,activist,438,1.26
6558,korean,243,1.26
5116,celebrate,458,1.259
1250,design,2168,1.258
2835,surrender,55,1.258
7530,sweep,43,1.258
116,how,23998,1.257
380,respect,9225,1.257
848,intolerable,377,1.256
2072,extreme,171,1.256
2954,sincere,348,1.256
8743,sudanese,160,1.256
124,hate,192,1.255
195,people,42315,1.255
371,body,5152,1.255
4437,flat,57,1.255
6504,metal,185,1.255
3320,advanced,414,1.254
4314,underwater,48,1.254
4368,allege,159,1.254
5879,wisely,103,1.254
613,totally,1818,1.253
1040,base,8560,1.253
1157,top,866,1.253
6350,socrates,203,1.253
7634,giant,201,1.253
9150,roam,35,1.253
2498,renew,625,1.252
4184,loan,939,1.252
206,few,7625,1.251
431,push,630,1.251
3565,trace,119,1.251
8838,culmination,54,1.251
9124,g,164,1.251
1009,force,8982,1.25
1149,sound,1244,1.25
1961,absent,144,1.25
101,may,12756,1.249
106,that,474840,1.249
2170,score,77,1.249
427,formula,179,1.248
661,setting,210,1.248
3376,unified,421,1.248
8359,brake,82,1.248
10136,complicate,91,1.248
84,again,9736,1.247
3107,identification,170,1.247
3172,insecure,131,1.247
3680,assert,88,1.247
5837,contentious,117,1.247
8222,addict,39,1.247
1188,incorrect,159,1.246
7321,biased,68,1.246
8196,smoke,306,1.245
9478,bag,121,1.245
3322,develop,8858,1.244
4894,electorate,75,1.244
5517,strand,35,1.244
562,take,25716,1.243
3092,utmost,221,1.243
7426,personalize,62,1.243
519,proper,2038,1.241
9430,boast,32,1.241
14676,psychopath,34,1.241
365,silence,144,1.24
639,recommend,1253,1.239
3920,regeneration,54,1.239
10427,saddam,99,1.239
12167,potato,54,1.239
7263,unhindered,36,1.238
481,last,15748,1.237
727,include,14516,1.237
1147,rightly,2642,1.237
1813,distinguished,131,1.237
