,words,amounts,entropies
1046,finalizar,1698,1.392
2735,golpear,571,1.391
521,condenado,618,1.39
1523,participar,7809,1.39
669,alegrar,2508,1.389
722,obtener,6209,1.389
1179,sentido,11752,1.389
315,relativo,8256,1.388
810,vergüenza,865,1.388
1224,funcionamiento,5127,1.386
720,consecuencia,15856,1.384
2118,perturbación,173,1.383
5502,reaparición,26,1.383
16467,remodelación,23,1.383
2510,reparto,1019,1.382
6743,colonizador,22,1.382
2278,altura,521,1.381
3598,alejado,283,1.381
6410,rodeo,29,1.38
8061,menospreciar,50,1.379
9448,reorientación,94,1.379
1122,compuesto,625,1.378
1613,tarde,6707,1.378
2696,descender,382,1.378
474,actualmente,10789,1.376
4003,bloqueo,803,1.376
859,replantear,186,1.375
3704,predominante,138,1.375
8481,detestable,32,1.375
4835,avergonzar,170,1.374
1880,supervisión,3717,1.373
2242,abismo,290,1.373
5497,retención,333,1.373
10439,esplendor,27,1.373
8342,aficionado,118,1.372
3235,estancamiento,359,1.371
1043,exponer,784,1.37
14511,desconcertado,34,1.37
5880,derrocar,151,1.369
139,diario,2196,1.368
574,ecológico,2325,1.368
6350,ilimitado,266,1.368
659,analizar,3033,1.367
6012,impregnado,32,1.367
2107,permiso,2346,1.366
6380,desechar,105,1.366
4135,matemático,981,1.365
4232,cese,181,1.365
8016,distintivo,182,1.365
8306,garra,101,1.365
261,realizar,12281,1.364
616,concreto,11754,1.364
1648,magnífico,867,1.364
2896,inútilmente,36,1.363
4987,convulsión,92,1.363
383,dirigido,1839,1.362
202,presionar,1103,1.361
1377,asesor,360,1.361
3362,aroma,104,1.36
1138,inquietante,337,1.357
2132,resaltar,1666,1.357
754,ensayo,503,1.356
4671,envuelto,48,1.355
2987,dotación,309,1.354
4151,apartar,110,1.354
812,lamentable,2283,1.353
1327,disco,258,1.353
8486,plagado,76,1.353
10734,indeterminado,28,1.352
188,observación,6563,1.351
896,inmenso,824,1.351
4100,malinterpretar,111,1.351
4882,aprovechamiento,30,1.351
105,auténtico,3116,1.35
4612,limpieza,461,1.35
6175,microcrédito,243,1.35
1735,expulsar,432,1.349
6663,liquidación,220,1.348
7087,incuestionable,114,1.348
142,momento,26182,1.347
1053,breve,3642,1.347
2585,infrautilización,34,1.347
2863,intencionado,88,1.346
17293,anticíclico,43,1.346
1969,estimado,1885,1.345
5199,destrozar,60,1.345
3860,reprimir,178,1.344
4090,tranquilo,247,1.344
2047,atribuir,511,1.343
2838,obstaculizar,470,1.342
6866,joya,100,1.342
21041,pañuelo,34,1.342
4825,incumplir,255,1.341
7593,resurgir,28,1.341
4759,arrojar,369,1.34
5077,tambalear,29,1.34
6454,baño,485,1.34
9626,motorista,29,1.34
3813,suavizar,91,1.339
264,pretender,4023,1.338
455,ante,6556,1.338
1140,implicar,5244,1.338
693,aunque,17905,1.336
4729,alimentación,1313,1.336
7202,temible,29,1.336
9306,cabaña,63,1.336
1274,incumplimiento,653,1.335
3447,autorizado,659,1.334
3636,partidario,583,1.334
4912,asombroso,488,1.334
7621,despertar,664,1.334
2958,catalogar,40,1.333
133,evidentemente,3482,1.332
802,terreno,4201,1.332
3155,metro,1291,1.332
7993,despegue,35,1.332
10099,desbordado,25,1.332
441,es,2525,1.331
656,estudiar,4337,1.331
4305,sobrecargado,69,1.331
7420,avión,1952,1.331
450,exposición,1337,1.33
657,examinar,5424,1.33
4168,solidez,134,1.33
1299,pronunciar,325,1.329
1354,perdón,222,1.329
3958,derivado,877,1.329
5016,reticencia,236,1.328
11192,patio,202,1.327
897,enorme,6826,1.326
2604,directivo,140,1.326
10418,falsificado,260,1.326
9591,valenciano,152,1.325
4990,revuelta,142,1.324
1040,preparado,2785,1.323
1378,asesora,49,1.322
1045,terminar,4799,1.32
4992,curiosamente,244,1.32
4550,afinar,42,1.319
5353,encantador,99,1.319
8130,secuestrar,261,1.319
2688,medicamento,3159,1.318
3502,reembolso,583,1.318
7556,desmentir,39,1.318
11760,frenético,44,1.318
583,bien,18164,1.317
8525,trazar,77,1.316
11218,fanático,171,1.316
119,asunto,30202,1.315
6007,afán,64,1.314
7532,erróneamente,138,1.314
6335,anticuado,219,1.313
5044,horrorizar,50,1.312
800,campo,6026,1.311
7624,asombro,121,1.311
231,atrás,1927,1.31
1066,margen,2032,1.31
7299,colorante,72,1.31
7892,paréntesis,45,1.31
497,totalidad,1598,1.309
4255,horroroso,50,1.309
5733,sumergido,73,1.309
7279,inviable,132,1.309
16362,doctorado,168,1.309
19246,burka,41,1.308
103,verdad,6338,1.307
2812,convenientemente,157,1.307
4760,cedido,44,1.306
21094,transexual,62,1.306
8723,ingenioso,119,1.305
1916,otorgar,663,1.304
2534,desacreditar,131,1.304
3394,polémica,233,1.304
117,tema,22102,1.303
422,reparo,114,1.303
1505,soler,1067,1.303
2309,localizado,53,1.303
12201,institucionalizar,119,1.303
22020,garabato,31,1.303
3133,escasamente,82,1.302
10619,colmena,108,1.302
2713,acercar,1356,1.301
7460,locura,321,1.301
8227,retroactivo,101,1.301
1151,recuperar,1730,1.3
3811,suave,281,1.3
7443,franco,484,1.299
2810,adquirir,1331,1.298
185,señalar,7409,1.297
16051,inmersión,47,1.297
18469,prótesis,79,1.297
380,objetivo,40687,1.296
670,complacer,4643,1.296
6766,impotencia,262,1.296
4712,rebatir,40,1.295
4898,desalentador,115,1.295
10021,sorprendentemente,254,1.295
2475,escenario,1470,1.294
3651,ordenar,56,1.294
1904,prácticamente,2092,1.293
4818,promotor,227,1.293
8057,suplicar,41,1.293
8347,tranquilamente,66,1.293
10104,borroso,53,1.293
14605,subgrupo,42,1.293
753,probar,1212,1.292
2500,incentivar,160,1.291
7312,brusco,46,1.291
6784,mayoritariamente,81,1.29
7129,abominable,102,1.29
4884,extraño,1692,1.289
4985,conmoción,116,1.289
4748,litoral,110,1.287
3777,apuro,45,1.285
4405,dominio,505,1.285
5310,estupendo,126,1.284
4459,fijación,116,1.283
6603,subyacer,120,1.283
6598,desvelar,47,1.282
3746,mermar,42,1.281
7130,pésimo,45,1.281
750,prueba,7660,1.28
668,satisfecho,2611,1.279
1667,tarifa,632,1.279
4129,compra,1058,1.279
8622,recreo,57,1.279
756,construcción,5014,1.278
2719,dedicar,1507,1.278
2858,minucioso,201,1.278
2105,reflexión,1690,1.277
2671,supeditado,49,1.277
16759,solitario,113,1.277
1107,hipótesis,373,1.276
6963,mortal,400,1.276
7463,lidiar,95,1.276
11671,incesante,62,1.276
437,ocasión,7889,1.275
1588,ruptura,245,1.275
2382,olvido,85,1.275
3568,citado,182,1.275
3705,imperioso,50,1.275
3755,desmantelamiento,766,1.275
4154,desviación,183,1.275
8032,171100,30,1.275
1941,máximo,4009,1.274
2942,fuertemente,246,1.274
7586,elector,1025,1.274
945,gasto,7152,1.273
2170,sólido,3096,1.273
6131,demandante,229,1.273
6675,gira,165,1.272
4810,antena,94,1.271
5849,cercanía,90,1.271
458,desgracia,1577,1.269
5132,penoso,88,1.269
5667,gritar,391,1.269
4276,oscilar,64,1.268
7889,reorganización,244,1.268
112,petición,7783,1.267
2362,refuerzo,1184,1.267
3599,quitar,236,1.267
4666,desvío,51,1.267
12540,picar,44,1.267
6470,audacia,86,1.266
8517,adolescente,566,1.266
332,levantar,1071,1.265
3977,precariedad,112,1.265
1792,mezcla,588,1.263
2837,dificultar,306,1.263
7484,andar,115,1.263
1302,sentencia,2079,1.262
13251,instantánea,90,1.262
1093,vicepresidente,573,1.261
2341,resumir,808,1.261
2374,marginación,266,1.261
4709,cuestionar,52,1.261
7151,kosovar,123,1.261
14853,fragmento,142,1.261
1322,registro,2969,1.26
5370,prisa,195,1.26
6902,barbarie,255,1.26
484,función,5970,1.259
3906,cansancio,54,1.259
2256,perjudicial,1433,1.258
2370,apto,79,1.258
4060,desatar,82,1.258
6013,reformulación,31,1.258
984,costumbre,694,1.257
2720,destinar,511,1.256
667,satisfacción,2636,1.255
1849,incondicional,473,1.255
8485,peste,56,1.255
11683,prenda,96,1.255
22,por,241084,1.254
3343,fundir,76,1.254
9903,abono,44,1.254
3935,revocación,67,1.253
7113,sobreexplotación,72,1.253
2549,conciencia,2464,1.252
12634,posteriori,33,1.252
1260,montón,826,1.251
2255,profundo,2889,1.251
2303,sede,632,1.251
14272,hongo,162,1.251
3590,indebidamente,107,1.25
8244,imprudente,86,1.25
4330,pronunciado,54,1.249
6274,rosa,267,1.249
893,armamento,700,1.248
1240,devolver,979,1.248
806,aplicación,18749,1.247
1176,arriba,937,1.247
1948,urgencia,2991,1.247
1187,decidido,1241,1.246
1641,magnitud,812,1.246
8695,cofinanciar,200,1.245
1080,asumir,4475,1.244
6712,ocupante,163,1.244
7759,ingenuidad,87,1.244
215,asesinar,841,1.243
2644,valorar,1088,1.243
7562,reevaluación,85,1.243
7952,inclinación,81,1.243
963,modificación,4918,1.241
11731,pizarra,32,1.241
24699,eh,83,1.241
371,responder,9773,1.24
2320,superior,2049,1.24
4166,alteración,124,1.239
3937,sustitución,756,1.237
5841,decomiso,68,1.237
703,nadie,6249,1.236
1932,kilo,347,1.236
3835,previsión,942,1.235
757,creación,12390,1.234
789,casualidad,405,1.234
954,definitivo,2166,1.234
6484,estupidez,109,1.234
8348,sereno,56,1.234
1865,culpable,1006,1.233
1894,juego,5106,1.233
2581,desplazar,532,1.233
8503,falsificar,82,1.233
8787,intersectorial,38,1.233
687,considerablemente,1409,1.232
1105,resultar,2061,1.232
1320,utilidad,853,1.232
3764,denominación,536,1.232
4466,ofensa,80,1.231
10827,reevaluar,60,1.231
3854,ineficacia,211,1.23
8129,secuestrado,150,1.23
10540,celular,329,1.23
20469,bielorruso,256,1.23
2655,exagerado,237,1.229
3370,arrastre,71,1.229
11635,buceo,41,1.229
879,confuso,434,1.227
2095,duramente,227,1.227
4091,casual,50,1.227
6342,inculcar,54,1.227
8710,fluidez,57,1.226
973,afirmación,1317,1.225
10998,paralizar,190,1.225
1156,avanzar,4512,1.224
8671,gustosamente,64,1.224
10971,d . c .,49,1.224
4594,impaciencia,159,1.223
16105,reprogramar,59,1.223
3121,digno,1031,1.221
3156,m,286,1.221
6984,herir,81,1.221
8248,antipopular,135,1.221
4444,sancionar,386,1.22
364,pena,3527,1.219
1617,cumplimiento,2762,1.219
4827,infringir,539,1.219
1356,disculpa,594,1.218
1915,concesión,1827,1.218
2747,principalmente,3442,1.218
2066,depósito,354,1.217
2296,inicio,1639,1.216
4144,cruce,134,1.216
5264,kilómetro,1113,1.216
13029,traumatizado,49,1.216
736,atenerse,187,1.215
1349,lamentar,1272,1.215
1695,luchar,5773,1.215
6967,girar,177,1.215
237,correspondiente,1491,1.214
339,orientación,3420,1.214
3771,parto,198,1.214
6871,detenido,485,1.214
10219,cómico,44,1.213
1445,posibilidad,12864,1.212
7,pleno,7644,1.211
124,objeto,4204,1.211
1963,acercamiento,267,1.211
2243,laguna,604,1.211
1697,salvo,857,1.21
2491,centro,6836,1.21
5251,paraíso,213,1.21
6412,filtrar,229,1.21
618,especial,17293,1.209
1833,severo,457,1.209
6053,sombrío,95,1.209
6079,aprendiz,54,1.209
9635,pantano,67,1.209
584,cierto,15440,1.208
4460,puesta,40,1.208
11017,detestar,38,1.208
14,interrumpir,1849,1.207
54,agradable,457,1.207
14035,represalia,200,1.206
120,someter,1348,1.205
1150,restablecer,1110,1.205
5881,invalidar,84,1.205
10073,árbitro,141,1.205
1763,recipiente,45,1.204
1808,borde,461,1.204
1772,contratar,557,1.203
1868,consecución,924,1.202
1996,normalización,721,1.202
6337,superado,51,1.202
608,realidad,15636,1.2
735,adherir,770,1.2
5042,sorprendido,360,1.2
1054,rápidamente,4365,1.198
1666,cobrar,356,1.198
2324,repercusión,3302,1.198
3904,estéril,64,1.198
1741,embarcación,337,1.197
3788,arduo,118,1.197
209,matanza,349,1.196
3119,valer,716,1.196
5327,aferrar,120,1.196
1959,modificar,5682,1.195
4165,disturbio,249,1.195
4331,emitir,540,1.194
5721,ganadería,173,1.194
63,comprobar,2135,1.193
262,buscar,5978,1.193
1263,mantenimiento,1901,1.193
1924,seguramente,1138,1.193
2311,atender,213,1.193
3791,descentralizado,646,1.193
7224,hindú,96,1.193
2248,vacío,1182,1.192
491,cada,26916,1.191
6414,derramar,55,1.19
8349,serenidad,84,1.19
2437,indispensable,2228,1.189
6980,herido,605,1.189
1933,kg,215,1.188
2360,reforzado,1176,1.188
5332,experimentación,242,1.188
4211,transmisión,938,1.187
1230,resolver,9123,1.186
3190,marca,1309,1.186
3533,entrega,399,1.186
6918,multitud,301,1.186
4883,curioso,464,1.184
8246,insensato,44,1.184
295,completamente,4315,1.183
10401,inmerso,67,1.183
14263,centímetro,143,1.183
102,verdadero,7860,1.182
3283,recopilación,413,1.182
3847,despedir,229,1.182
12933,minúsculo,81,1.182
783,enseñanza,1499,1.181
6945,atrapado,390,1.181
1184,independientemente,1831,1.18
1784,eliminar,4509,1.18
7911,anulación,193,1.18
2181,detener,2830,1.179
5028,instalación,1975,1.179
876,reconocer,11544,1.178
1711,sensación,1521,1.178
2232,aliviar,611,1.178
2678,revés,140,1.177
2553,exhaustivo,1434,1.176
3114,tímido,170,1.176
4556,doble,2915,1.176
3062,caluroso,127,1.175
3840,arca,70,1.175
4609,flagrante,364,1.175
6912,idoneidad,109,1.175
537,puesto,6199,1.174
9255,encubrir,44,1.174
2505,empresario,1599,1.173
2773,liberar,1663,1.173
7533,injustamente,191,1.173
8646,banda,1125,1.173
8712,suavemente,103,1.173
1685,delante,1104,1.172
6344,infundir,61,1.171
2198,nulo,124,1.17
2632,intermedio,583,1.17
1366,complementario,1980,1.169
2468,alcance,2045,1.169
3844,candidatura,293,1.168
4137,prosperar,403,1.168
282,acabar,3699,1.167
8693,rebaja,51,1.167
432,mero,982,1.166
2377,desesperación,268,1.165
2853,noche,4752,1.165
3941,despojar,99,1.165
5723,crianza,68,1.165
6149,imitar,192,1.165
397,fundamental,21594,1.164
4455,callejón,96,1.164
5567,viaje,2987,1.164
5742,bebida,450,1.164
710,seguimiento,3234,1.163
796,ámbito,24965,1.163
4213,automovilístico,603,1.163
4552,sintonía,69,1.163
440,quizá,5463,1.162
493,continuamente,644,1.161
1361,factible,462,1.161
5940,entusiasta,195,1.161
11008,facturación,124,1.161
14542,app,110,1.161
1130,cuenta,20211,1.16
1779,empresa,27311,1.16
11709,sonoro,59,1.159
4053,disuadir,178,1.158
6248,restar,62,1.158
19294,camiseta,119,1.158
3274,despreciable,129,1.157
5046,horrorizado,97,1.157
11770,gráfico,466,1.157
674,esperar,35683,1.156
3421,intensificación,226,1.156
5267,recurrente,187,1.156
8805,caminata,70,1.156
448,anterioridad,228,1.155
1432,ampliar,4707,1.155
4120,constructor,180,1.155
8165,sello,257,1.154
1622,hueco,117,1.153
2205,ritmo,1599,1.153
8334,inseguro,294,1.153
2001,adaptación,2111,1.151
6619,atar,78,1.151
15744,feto,88,1.151
6782,condena,897,1.15
33,haber,481493,1.149
1448,obra,2522,1.149
392,relación,28491,1.148
1513,principal,14141,1.148
1669,acusación,1299,1.148
2383,negligencia,339,1.148
6804,pila,473,1.148
101,realmente,19617,1.147
2431,empresarial,1971,1.147
4703,normalizar,230,1.147
8675,conscientemente,168,1.147
625,erróneo,852,1.146
1770,obligatorio,2658,1.146
183,respetar,7897,1.145
2658,lentitud,223,1.145
1425,organizar,2809,1.144
1856,suelo,1928,1.144
3439,violación,5227,1.144
11723,molde,51,1.144
600,recurrir,789,1.143
1788,mezclar,359,1.143
3064,disperso,95,1.143
6143,emblemático,162,1.143
3273,insignificante,270,1.142
5684,fortuna,362,1.141
762,elegir,4383,1.14
2986,asignación,1516,1.139
3325,horario,391,1.139
5337,superficial,328,1.139
1307,anticipado,445,1.138
2601,administrador,227,1.138
4044,deducir,189,1.138
13696,europeísta,78,1.137
2298,celebración,968,1.136
7541,gafas,129,1.136
1632,mirada,214,1.135
3232,repartir,142,1.135
6607,defraudar,58,1.135
10380,pasillo,280,1.135
266,búsqueda,1621,1.134
2817,firma,2037,1.134
254,muerto,1593,1.133
5556,liberado,152,1.133
5623,precaución,736,1.133
8523,huella,504,1.133
2134,recalcar,1154,1.132
4793,escocés,375,1.132
5424,inoportuno,118,1.132
451,coincidir,1340,1.131
531,agradecimiento,3732,1.131
9073,desenfrenado,117,1.131
1696,combatir,5098,1.13
3722,aparición,391,1.13
4036,leal,222,1.13
4210,traslado,521,1.13
4332,normalidad,274,1.13
6508,subcontratación,93,1.129
111,pedir,19962,1.128
328,plantear,5655,1.128
12682,gonzález,97,1.128
118,cuestión,55896,1.127
478,sin,47983,1.127
4347,consecutivo,136,1.126
5127,fotografía,748,1.126
7289,liberalizado,209,1.126
2094,duro,2061,1.125
5391,valientemente,75,1.125
19824,personalizado,124,1.125
1944,espera,705,1.124
1980,vinculado,1786,1.124
3203,impaciente,82,1.124
2234,mitigar,389,1.123
462,ejecución,4702,1.122
1190,distinguir,810,1.122
3684,homogéneo,219,1.122
1579,tramo,115,1.121
7041,legalización,169,1.121
771,ni,14708,1.12
1945,esperado,754,1.12
2025,equivaler,415,1.12
10828,perforar,52,1.12
4451,indebido,120,1.119
2842,centrado,527,1.118
1691,prestar,3219,1.117
3785,convenir,165,1.117
11148,inducción,60,1.117
1003,recordar,14257,1.116
1094,ayuda,29219,1.115
3481,recopilar,355,1.115
1766,cargamento,72,1.114
9213,agroalimentario,129,1.114
95,cantidad,6237,1.113
5666,grito,199,1.113
7205,convocar,206,1.113
12008,respiración,196,1.113
158,implicado,2707,1.112
490,constante,2002,1.111
1089,conceder,4760,1.111
2404,agudizar,45,1.109
4007,cartel,254,1.109
3113,reticente,142,1.108
3532,adjudicación,242,1.108
5109,conveniencia,537,1.108
11469,fidelidad,58,1.106
4369,inundar,117,1.105
4911,exhibir,76,1.105
5266,km,840,1.105
1497,asegurar,11550,1.104
9426,sintetizar,100,1.104
631,acusado,606,1.103
5465,accidental,164,1.103
287,únicamente,5543,1.102
11456,transportista,356,1.102
4156,malversación,85,1.101
8322,lente,184,1.101
5882,volcar,18,1.099
9458,hermético,18,1.099
12454,revalorizar,15,1.099
13201,aclamar,24,1.099
15627,liebre,15,1.099
17707,sunita,15,1.099
84,lograr,10394,1.098
2448,terrestre,272,1.098
9674,lujoso,32,1.098
402,judicial,4306,1.097
2876,impreciso,153,1.097
6645,chico,891,1.097
