,words,amounts,entropies
14467,烷基,78,1.954
2861,赞赏,175,1.953
7544,航行,578,1.952
15261,切除术,81,1.952
19339,再造,163,1.95
3561,恶心,274,1.942
3567,圣,341,1.942
5719,阻塞,271,1.941
675,可能,40177,1.94
3306,恐怖,510,1.936
12842,改建,106,1.934
1263,巨大,4078,1.927
27520,交织,50,1.926
7009,淹没,219,1.925
6410,专制,135,1.924
7305,评定,656,1.918
2596,侵犯,815,1.915
8272,堕落,70,1.915
1910,温柔,213,1.914
154,很大,2936,1.913
714,纪念,571,1.913
7479,杰出,189,1.913
24835,尼尔,89,1.91
2216,悲哀,185,1.906
6474,宁静,195,1.905
22165,多功能,223,1.905
4609,反驳,142,1.904
6232,垃圾,999,1.903
12888,缺点,541,1.903
2658,嘲弄,82,1.901
4782,推广,780,1.901
11105,赞同,69,1.901
5698,症,126,1.9
10205,热心,82,1.9
10648,解开,89,1.9
411,自己,25687,1.899
2659,讽刺,372,1.897
2730,隔离,322,1.896
1911,温和,201,1.893
2639,可怕,1182,1.891
8287,gb,263,1.889
988,误解,376,1.888
2455,图,1281,1.888
18202,窒息,118,1.888
9654,格言,153,1.887
3495,执行,8030,1.886
729,确定,7042,1.884
496,检测,5401,1.882
17060,重塑,195,1.882
4294,剧烈,127,1.88
220,获得,8255,1.879
3637,道,142,1.878
5732,污秽,64,1.878
1944,粉碎,127,1.875
5998,充足,269,1.87
11368,巧妙,83,1.869
2467,耗尽,74,1.867
2542,定位,983,1.866
152,大量,3653,1.864
12455,加剧,189,1.863
4347,牧师,557,1.862
5615,不足,734,1.859
22449,特,104,1.858
2844,相当,1685,1.855
147,住宅,841,1.854
1471,应对,788,1.854
968,处理,10664,1.851
3206,约束,255,1.851
494,检验,2799,1.847
6568,依赖,1226,1.847
6467,深入,545,1.845
14298,夸大,126,1.845
3870,赋予,197,1.843
1338,清醒,220,1.842
999,不可思议,358,1.841
2805,违反,5476,1.841
871,侵入,139,1.838
10807,挖掘,283,1.835
10302,推测,280,1.831
6803,验证,1636,1.83
6613,愚昧,77,1.828
14869,着迷,214,1.826
7610,发布,2434,1.824
3539,屠杀,236,1.823
3002,缓和,117,1.822
3238,海底,267,1.822
4031,沉思,54,1.822
2660,嘲讽,61,1.82
12902,有意,290,1.819
10649,阐明,247,1.817
4651,优雅,309,1.814
5706,繁殖,511,1.813
2999,减轻,755,1.811
6624,华丽,109,1.809
10407,无力,151,1.807
2588,下降,3990,1.805
2634,感情,1016,1.803
2756,参与,2994,1.803
9437,统一,1086,1.802
966,无法,4918,1.801
2109,显微,105,1.801
4511,种类,1744,1.8
16,进行,10238,1.799
19501,擅自,74,1.799
18413,报复,247,1.798
8151,恳求,116,1.797
992,神奇,742,1.796
14423,吸入,193,1.796
9089,精致,68,1.795
5670,令人震惊,145,1.794
2852,青少年,1040,1.79
13237,重构,324,1.789
996,精彩,290,1.787
1487,资助,833,1.787
1671,争吵,238,1.787
11377,可笑,227,1.787
10233,香味,295,1.786
7820,废止,236,1.785
2656,嘲笑,401,1.783
2987,膨胀,529,1.783
5286,激励,905,1.782
6980,修改,2506,1.782
12261,恐吓,104,1.782
8143,爆炸,1482,1.78
8216,唤醒,178,1.78
6256,联合,1598,1.779
7985,多元化,251,1.778
316,雕刻,220,1.777
3003,缓解,494,1.775
727,保证,4792,1.773
1421,职业,2617,1.773
27090,亚,69,1.772
5841,停滞,117,1.771
1474,吃惊,282,1.77
6107,爆发,425,1.769
530,有关,17232,1.765
8053,主义者,72,1.764
22783,无意,70,1.764
184,传递,1219,1.763
2268,收回,253,1.763
17764,雷诺,91,1.762
19834,笨重,43,1.762
17012,个性化,192,1.76
11334,同步,829,1.759
14810,苦恼,59,1.758
6103,丢脸,42,1.757
26033,西亚,76,1.757
11318,忠实,234,1.756
1365,适应,2349,1.755
2170,聚集,693,1.755
12224,脱落,48,1.755
1272,恢复,2907,1.753
1874,混合,2428,1.753
11340,芳香,202,1.753
33451,硫化,87,1.752
3767,分歧,461,1.751
4214,方便,1445,1.751
1684,实质,348,1.749
94,没有,49004,1.747
13704,坚决,137,1.747
41012,防伪,44,1.747
8726,动荡,208,1.746
5475,专门,1107,1.745
9069,抗氧化,221,1.745
11034,养殖,193,1.744
12027,海滨,210,1.743
12913,动力学,1033,1.743
4348,教士,55,1.741
10396,卓越,152,1.74
10440,诚信,195,1.739
9180,粗,153,1.736
2389,赞成,121,1.735
6641,支配,141,1.735
7949,镇压,138,1.734
1824,拍,220,1.732
1790,关联,988,1.731
5544,引诱,187,1.731
14660,乳化,136,1.731
96,不会,14317,1.73
3097,切除,272,1.73
14109,蔑视,91,1.729
6355,谴责,576,1.728
15543,协同,155,1.726
3982,明确,1452,1.725
10273,傻,151,1.725
15083,调料,61,1.725
41918,霉素,45,1.724
1608,机构,8893,1.723
4895,分割,338,1.723
14801,回流,59,1.723
7398,失调,85,1.721
9199,地貌,94,1.721
11005,精确,795,1.721
904,普通,2359,1.72
2442,强化,599,1.72
5553,骚扰,138,1.717
7507,不公,128,1.716
24993,直肠,74,1.716
6166,变态,48,1.714
7568,宽容,140,1.713
2209,实行,789,1.712
18244,颤抖,141,1.712
116,持续,3725,1.71
3488,英国人,382,1.709
7826,抑制,1528,1.709
9272,研磨,142,1.709
6347,野蛮,196,1.708
12613,不当,285,1.708
1348,礼貌,411,1.707
2956,者,385,1.705
6578,无限,675,1.705
20576,头巾,50,1.702
110,最终,5476,1.701
7729,邻近,273,1.701
3156,紧缩,138,1.7
23239,贵族,404,1.7
4127,一致,888,1.699
3620,咨询,799,1.698
4278,充分,1101,1.694
18268,精神病,159,1.694
12195,协作,398,1.693
14233,堡垒,118,1.693
18239,淤泥,78,1.693
10739,发光,176,1.692
895,同时,6696,1.691
11699,排序,187,1.691
2390,恩惠,81,1.689
726,肯定,1820,1.687
1116,比赛,3882,1.687
4022,吓坏,92,1.687
13192,微博,197,1.687
167,困境,402,1.684
4199,伪造,558,1.683
3415,保留,1651,1.681
1646,组成,3114,1.68
4419,广阔,317,1.68
13171,改组,163,1.68
903,一般,5197,1.679
1552,观点,2850,1.679
4526,保障,1897,1.679
3688,们,394,1.677
3031,变质,133,1.676
11825,敌对,116,1.676
58,整理,252,1.675
297,彻底,783,1.675
7836,拓宽,105,1.675
8354,聪明,1645,1.673
14105,轻视,56,1.673
15991,重现,100,1.673
6315,混蛋,312,1.672
9247,弹性,517,1.672
2509,深刻,628,1.67
10011,预见,151,1.67
26446,支气管,87,1.67
1750,探讨,7353,1.669
217,合作,5888,1.668
12225,小屋,148,1.668
3029,恶化,556,1.667
7609,公布,2043,1.667
10551,乏味,101,1.667
2563,哈,123,1.665
4292,激烈,332,1.665
4918,交流,1683,1.665
9144,疯子,164,1.665
847,出现,4521,1.664
6860,沉浸,136,1.663
98,没,3078,1.662
1337,意识,4722,1.662
4678,推翻,385,1.662
12901,蓄意,109,1.66
13413,定制,338,1.66
13188,降级,80,1.659
413,成立,1786,1.658
943,要求,17114,1.657
6521,掩饰,147,1.657
3199,实施,3253,1.655
4213,轻松,709,1.653
5500,障碍,1331,1.653
8608,山顶,239,1.653
4371,共同,2801,1.652
9441,团结,286,1.652
34,大,10951,1.65
3685,住处,89,1.65
14,完成,6401,1.649
1072,血管,503,1.649
1298,爱好者,310,1.648
18599,诱人,112,1.648
4414,广泛,2063,1.647
17438,松弛,104,1.647
2111,微型,194,1.646
2830,无疑,400,1.646
5848,苦难,191,1.646
2959,光荣,130,1.645
1787,方案,4075,1.644
8629,中止,308,1.644
531,相关,6056,1.643
1652,构成,1593,1.64
3568,圣保罗,96,1.64
16194,粪便,122,1.64
698,打,1065,1.639
1321,同情,617,1.639
1626,杂交,169,1.638
2522,途径,1795,1.638
4332,区分,464,1.638
5506,扭曲,344,1.637
1475,奇怪,1798,1.636
2131,替代,1173,1.636
5823,免疫,1261,1.636
73,运动,6752,1.635
3585,侵占,114,1.635
6764,合并,693,1.635
10786,聚合,241,1.635
1847,生物,2262,1.634
2710,高兴,2053,1.634
6726,信条,98,1.634
683,准确,1783,1.633
12525,沉积,400,1.633
961,糟糕,2028,1.632
1101,以前,3548,1.63
3412,保存,1835,1.63
4280,阐述,824,1.63
8337,血统,117,1.629
10741,颠簸,61,1.629
12411,骗子,171,1.627
19869,接种,229,1.627
1659,自主,288,1.623
6386,继承,204,1.623
11606,荣幸,426,1.623
179,好,21159,1.622
9184,抗,465,1.622
292,制造,5420,1.621
696,反对,3327,1.621
2330,失效,472,1.621
3303,残酷,323,1.621
10211,厌烦,151,1.62
10014,培育,242,1.619
3758,撤销,1884,1.618
6291,闪亮,95,1.618
16607,装饰,714,1.618
2677,紧张,1119,1.616
3400,工作人员,1499,1.616
5547,诱使,193,1.615
15871,复兴,90,1.615
1361,玛利亚,149,1.614
2336,勇敢,416,1.613
13006,开采,393,1.613
15237,描写,90,1.613
7520,剩余,667,1.612
8073,退出,465,1.61
8819,急剧,179,1.608
1838,通常,8574,1.607
8059,虔诚,112,1.606
8227,傲慢,175,1.606
5645,摇晃,56,1.604
7361,打扰,198,1.603
7950,压制,145,1.603
18381,无能,68,1.603
29443,维斯塔,37,1.603
3454,隐蔽,80,1.601
4060,分配,1942,1.601
10572,诡诈,29,1.601
14824,飞船,172,1.601
947,起诉,874,1.6
2505,魅力,509,1.6
414,建立,11704,1.599
4391,航空,877,1.598
5010,棒,298,1.598
1728,调节,1003,1.597
2391,有利,351,1.597
4279,全面,1351,1.596
8215,唤起,133,1.596
14321,笨蛋,110,1.596
5153,缩小,302,1.595
6995,迅速,2392,1.595
7943,大屠杀,142,1.594
6411,独裁,107,1.593
5976,愉快,443,1.592
6713,有效期,281,1.592
11469,浏览,361,1.592
12900,故意,812,1.591
2303,参加,2385,1.59
1126,单独,1274,1.589
6684,失望,990,1.588
10456,作废,40,1.588
10271,愚蠢,802,1.587
12924,过失,122,1.587
995,惊讶,1090,1.586
2284,混乱,714,1.586
6341,宝石,272,1.586
8394,愉悦,111,1.585
15030,霉菌,102,1.585
24620,异教徒,48,1.585
595,审查,1751,1.584
19678,病理学,166,1.583
4607,对抗,772,1.582
2871,美好,617,1.581
3001,减弱,143,1.581
9176,亲切,53,1.58
3224,奇怪的是,81,1.578
3478,最小,1110,1.578
5908,商人,789,1.578
362,认识,3652,1.577
2215,痛苦,1972,1.577
4785,推进,684,1.577
9594,无论如何,181,1.577
15923,蜂巢,83,1.577
3024,合法,2091,1.576
5923,反叛,80,1.576
6891,震动,258,1.576
26066,修剪,92,1.576
6445,说服力,116,1.575
7983,多样化,337,1.575
1483,清除,771,1.574
2127,抛弃,360,1.574
8314,净化,252,1.574
9495,可惜,216,1.573
12454,加重,174,1.573
1517,选择,12818,1.571
1739,抵触,474,1.571
1882,保管,293,1.571
2820,照射,313,1.571
10892,专业化,145,1.571
19171,窥探,32,1.571
18304,脱离,41,1.57
21827,尔顿,34,1.57
10,对,64193,1.569
5268,快,2064,1.569
7477,突出,355,1.569
1174,最初,1668,1.568
5296,削弱,258,1.568
79,尽管,7089,1.567
1738,矛盾,714,1.566
1918,引发,445,1.566
3806,以往,482,1.566
16251,饲养,123,1.566
22903,市场化,91,1.566
2961,腹腔,153,1.565
4157,培养,2158,1.564
16179,麻痹,113,1.564
1551,实现,6667,1.563
1605,泄漏,639,1.563
4654,特别,9333,1.563
5739,复制,1571,1.563
11678,林,78,1.563
28756,尼,58,1.563
4772,中期,182,1.561
11125,后退,45,1.561
13390,烤,274,1.561
2009,纳米,500,1.56
32846,反革命,69,1.56
566,不能,14122,1.559
657,行为,9673,1.559
3185,强调,1310,1.559
1063,包,452,1.557
3851,近,1745,1.557
6854,浸泡,174,1.557
13703,坚定,88,1.557
3072,标志,1956,1.556
3115,五条,100,1.556
9751,复苏,597,1.556
16189,陈词滥调,48,1.556
23182,造影,108,1.556
7833,放大,438,1.555
11409,诋毁,42,1.555
2604,重大,2054,1.554
8257,否定,311,1.554
596,审核,875,1.553
4697,妨碍,584,1.553
7142,适宜,697,1.553
10706,量化,369,1.553
18506,对称,309,1.553
25526,外向,86,1.553
27391,遗嘱,99,1.553
528,担心,4310,1.552
5190,危及,315,1.552
6236,战胜,287,1.552
16899,推断,170,1.551
5478,献身,42,1.55
8001,点心,56,1.55
11348,运算,77,1.55
23829,暗淡,40,1.55
3421,获取,1311,1.549
307,主要,17244,1.547
1762,完整,1915,1.547
3305,残暴,62,1.547
5672,震惊,518,1.546
9773,固化,214,1.546
6553,假设,1417,1.544
3212,机关,3327,1.543
5205,周期性,131,1.543
13924,创业,173,1.543
14042,光谱,656,1.543
6167,租赁,544,1.542
682,正确,4604,1.541
3015,感激,647,1.541
5397,波纹,51,1.541
6290,闪闪发光,40,1.541
16535,骑马,139,1.541
933,异常,1106,1.54
2676,确实,1928,1.54
32924,流变学,91,1.54
6005,精明,77,1.539
24792,单片机,138,1.539
963,恶劣,227,1.538
2895,艾伦,127,1.538
6056,棘手,141,1.538
12029,有限公司,213,1.538
29555,凯拉,49,1.538
8372,赎罪,58,1.537
12910,静止,69,1.536
18323,勉强,53,1.536
35901,多线程,53,1.536
2733,掩盖,291,1.535
8304,恶魔,279,1.535
10030,富裕,522,1.535
29065,奥,37,1.535
752,规范,1160,1.534
14826,微,207,1.534
795,很少,1821,1.532
1521,装修,102,1.532
2661,愤怒,730,1.532
27203,整顿,83,1.531
10047,扰乱,214,1.53
385,方式,13873,1.529
964,也许,8665,1.528
3961,论证,281,1.528
4377,吧,180,1.528
1915,激起,83,1.527
3784,遗迹,129,1.527
4634,移民,1314,1.527
4707,转变,1777,1.527
19887,保姆,91,1.527
29272,罗西,42,1.526
369,许可,2067,1.525
2198,接纳,492,1.525
11197,转化,1343,1.525
12513,仪,91,1.525
3473,介入,316,1.524
12976,怨恨,111,1.524
1793,确认,1725,1.523
9254,轻,109,1.523
10204,急切,55,1.523
3850,接近,1943,1.522
9782,地层,157,1.522
3983,显然,2008,1.521
7750,多余,180,1.521
6446,迫切,126,1.52
4894,分区,188,1.519
9788,解剖,263,1.519
17263,退缩,58,1.518
2052,成分,1662,1.517
14624,菌,243,1.517
2386,宏伟,70,1.516
5271,快速,4308,1.516
6475,平息,84,1.516
8244,杀人,119,1.516
102,收购,1117,1.515
2236,角度,2352,1.515
8080,变现,59,1.515
17094,精灵,71,1.515
20211,后现代主义,96,1.515
634,居住,1864,1.514
11087,循环,1458,1.514
222,让,23717,1.513
1144,旋转,1116,1.513
2440,增强,1599,1.513
9191,破裂,307,1.513
10608,染色,450,1.513
25811,不可,77,1.513
8724,召集,107,1.512
13189,贬低,56,1.512
16481,传染,90,1.511
1569,装置,3971,1.51
17379,抗菌,181,1.51
242,全国,3064,1.509
7397,紊乱,169,1.509
9672,光泽,76,1.508
12698,时髦,95,1.508
15599,优惠,156,1.508
1792,承认,3320,1.507
2264,作战,389,1.507
4743,主持人,267,1.507
9076,持久,167,1.507
1222,码头,431,1.506
7363,干扰,1344,1.506
8098,泥土,295,1.505
9569,无效,889,1.505
6033,启示,360,1.504
9494,遗憾,660,1.504
15601,珍妮,181,1.504
6757,忏悔,93,1.503
7663,轻微,415,1.503
4934,执政,144,1.501
12041,觉醒,167,1.501
5412,挤压,202,1.5
7066,假肢,61,1.5
7829,束缚,84,1.5
11937,迷人,215,1.5
6280,驯化,60,1.499
7897,大致,190,1.499
19221,振兴,70,1.499
20274,狂欢,51,1.499
1851,病菌,119,1.498
2057,征收,314,1.498
3644,呼吸,1575,1.498
10889,专长,69,1.498
6382,遵守,1463,1.497
2850,大幅度,60,1.496
11243,钉,114,1.496
5704,维亚,53,1.495
9189,反抗,133,1.495
9721,预测,4732,1.495
1510,经常,4397,1.494
3221,投入,611,1.494
15613,掠夺,76,1.494
36877,脱色,44,1.494
6101,耻辱,144,1.493
4730,传播,2205,1.492
6769,麻醉剂,85,1.492
10070,开除,113,1.492
10775,瘦,76,1.492
17261,收缩,349,1.492
1670,争论,929,1.491
2636,情绪,1608,1.491
4880,乐意,307,1.491
6759,坦白,107,1.491
7490,少女,60,1.491
18414,反击,44,1.491
7264,认证,870,1.49
7401,干涉,378,1.49
5242,常规,1209,1.488
3183,延长,1411,1.487
13031,坦率,44,1.487
446,解雇,453,1.486
4873,动力,1312,1.486
6122,废话,64,1.486
9255,低温,56,1.485
16048,路易斯,246,1.485
5789,酗酒,214,1.484
13657,倒退,51,1.484
686,有效,9271,1.483
34337,多级,100,1.482
1235,实用性,187,1.481
1357,悲伤,678,1.481
2489,停泊,207,1.481
12889,弊端,147,1.481
16055,航海,105,1.48
351,暴雨,231,1.479
1168,目前,7464,1.479
1819,拍摄,625,1.479
3225,令人吃惊,63,1.479
2171,浓缩,218,1.478
5708,生育,225,1.478
20752,瓷器,86,1.478
4020,提示,556,1.477
6621,辉煌,116,1.477
11490,脱硫,131,1.477
26733,交联,86,1.477
2250,最大,7685,1.476
7360,中断,260,1.476
26601,心肌细胞,56,1.476
2355,夫人,435,1.475
7948,压迫,220,1.475
20894,团聚,88,1.475
3675,无论,1636,1.474
4457,依据,2239,1.474
9108,饰品,48,1.474
16292,挤,61,1.474
18379,笨拙,49,1.473
8026,瓦解,86,1.472
11123,消退,60,1.472
1344,诉讼,1987,1.471
18243,发抖,61,1.471
643,人,64690,1.47
2154,不管,1891,1.469
4860,刺激,1472,1.469
38523,颈椎病,68,1.468
1631,纠正,505,1.467
1780,程序,10238,1.467
4334,鉴别,183,1.467
9312,师,217,1.467
12479,重写,133,1.467
15869,潜水,174,1.467
12600,可悲,99,1.466
14299,夸张,134,1.466
1427,团体,2855,1.465
1867,画,1261,1.465
7402,干预,405,1.465
889,可能性,1993,1.464
1842,自身,2009,1.464
14238,恶棍,61,1.464
6361,圣地,76,1.463
1604,泄露,218,1.462
5978,满意,1685,1.462
18314,垃圾桶,65,1.462
21913,四条,73,1.462
6212,推论,78,1.461
13585,真诚地,48,1.461
532,担忧,907,1.46
897,提高,12019,1.459
7369,忧虑,223,1.459
9193,破解,83,1.459
30411,利亚,106,1.459
5723,堵塞,206,1.458
11264,毅力,83,1.458
3203,意义,4624,1.457
5653,抓住,887,1.457
7166,细化,91,1.457
14098,辛格,71,1.457
33384,分流,65,1.457
23055,无私,61,1.456
3287,权限,1384,1.454
10192,堆积,156,1.454
6312,该死,132,1.453
6473,平静,522,1.453
7714,联盟,1110,1.453
20377,妇科,87,1.453
394,承担,1104,1.452
5925,叛乱,138,1.452
8486,招聘,432,1.452
10980,食管,110,1.452
1477,意外,1350,1.451
1758,熟练,82,1.451
8682,一致性,282,1.451
10046,分裂,459,1.451
24757,微米,165,1.451
1335,自觉,46,1.45
1785,视野,303,1.45
7805,漫步,112,1.45
1669,主张,399,1.449
2368,潮湿,239,1.449
8787,药剂,103,1.449
29305,保管人,85,1.449
1000,奇妙,363,1.448
6169,出租,273,1.448
6835,货车,220,1.447
7649,包裹,405,1.447
492,检查,5184,1.446
5567,附属,803,1.446
13860,爆破,262,1.446
15391,射手,94,1.446
9162,服饰,90,1.445
1425,小组,2521,1.444
4171,荣誉,511,1.444
19029,横向,246,1.443
573,渴求,46,1.442
708,资金,3510,1.442
909,区域,6674,1.442
3048,艰难,946,1.442
3316,输送,210,1.441
3362,摆脱,348,1.441
8727,动乱,116,1.441
9752,回收,891,1.441
16877,成矿,90,1.441
4123,优美,198,1.439
4183,履行,1665,1.439
17382,防腐,45,1.439
13259,尴尬,181,1.438
555,带,3702,1.437
798,有点,2210,1.437
8725,骚乱,158,1.437
21894,告密者,47,1.437
2114,内部,3416,1.436
6657,吸引力,666,1.435
1578,思想,3692,1.434
8207,展开,474,1.434
26210,白细胞,116,1.434
4350,赦免,140,1.433
7968,批判,473,1.433
8019,殖民者,74,1.433
9433,冷凝,56,1.433
409,一定,3678,1.432
2827,怀疑,2234,1.432
3205,限制,4745,1.432
6259,初级,204,1.432
9347,承受,196,1.432
25288,纠缠,64,1.432
15213,顶点,87,1.431
21233,单调,84,1.431
2928,一条,74,1.43
5072,幸运,1669,1.43
11016,饼,266,1.43
17093,结晶,165,1.43
529,关注,3158,1.429
1825,真正,7563,1.429
4315,弯曲,463,1.429
7304,评估,3497,1.429
7505,流产,189,1.429
18447,静脉,391,1.429
5913,由此,105,1.428
15236,刻画,81,1.428
3078,降低,5691,1.427
9907,延期,213,1.427
16537,人文,157,1.427
22683,罗斯,84,1.427
5490,支架,190,1.426
8556,工艺品,73,1.426
3253,回避,221,1.424
6534,维护,2174,1.424
6600,转发,124,1.424
7608,飞行器,228,1.424
347,启动,1800,1.423
33693,多层次,69,1.423
6170,租用,226,1.422
8840,沉降,166,1.422
13570,截留,54,1.422
28699,μ,889,1.422
383,别人,4897,1.421
2663,气愤,70,1.419
20212,后现代,95,1.419
23938,未婚妻,73,1.419
2743,较,1495,1.418
3750,基础,6349,1.418
5503,广告,2960,1.418
8256,剥夺,555,1.418
2794,正式,2088,1.417
3161,坚持,1414,1.417
17114,卡罗,75,1.417
637,生存,1629,1.416
2410,处罚,1319,1.416
3041,惊恐,70,1.416
4991,注入,550,1.416
13844,变性,140,1.416
17366,内皮,85,1.416
967,能力,10394,1.415
11726,合法化,124,1.415
6626,相反,2095,1.414
8757,戏剧,555,1.413
984,模仿,366,1.412
14083,使者,111,1.412
2108,微观,237,1.411
12210,吞噬,111,1.411
1056,镜头,438,1.41
6837,马车,244,1.41
9468,栏杆,99,1.41
22393,卷曲,57,1.41
2635,情感,1701,1.409
10243,复发,447,1.409
15354,薪酬,368,1.409
848,产生,4456,1.408
13395,焙烧,89,1.408
1262,较大,987,1.407
5122,排出,83,1.407
10191,累积,480,1.407
511,本土,85,1.406
12878,模块化,141,1.406
129,了解,7153,1.405
5263,萧条,130,1.405
5487,合成,1243,1.405
7790,构造,1291,1.405
13377,演唱,152,1.405
16944,理智,70,1.405
23416,背书,102,1.405
15579,新人,56,1.403
8049,冒犯,155,1.402
892,此外,1617,1.401
1827,实际,4460,1.401
5543,极度,205,1.4
16503,杆菌,147,1.4
1252,计算,8652,1.399
9,为,65857,1.397
10248,气味,549,1.397
11725,决策者,110,1.397
1872,描绘,217,1.396
2958,荣耀,320,1.396
5437,适当,4606,1.396
11730,参赛者,80,1.396
25331,员,49,1.396
7237,优秀,611,1.395
1663,管理人员,458,1.394
7446,爱人,147,1.394
1725,调节器,116,1.393
5658,不愿,203,1.393
1482,淘汰,169,1.392
1812,反思,333,1.392
2247,严重,4615,1.392
2751,目标,10520,1.392
6010,认真,678,1.392
12879,固执,61,1.392
1934,海边,215,1.391
10508,电子商务,401,1.391
3671,修道院,133,1.39
6934,峡谷,197,1.39
221,把,6338,1.389
289,制作,2707,1.389
4002,饮用,265,1.389
4996,子宫,335,1.389
13411,附上,185,1.389
2183,责任,4168,1.388
4784,推动,1277,1.388
8148,设想,299,1.388
2727,孤独,351,1.387
13743,简洁,134,1.387
22858,消毒,205,1.387
3244,证明,6812,1.386
8169,亲近,63,1.386
11449,猜测,477,1.385
24566,口径,105,1.385
4263,编码,1159,1.384
6051,确切,258,1.383
6234,裁定,1673,1.383
7964,公正,673,1.383
16484,学家,21,1.383
25459,环状,26,1.383
26011,触角,21,1.383
1904,不明,118,1.382
3701,阿比,22,1.382
4527,工业化,541,1.382
13697,皱褶,22,1.382
5203,定期,1047,1.38
12015,囚禁,71,1.38
28423,分层,53,1.38
29700,三条,75,1.38
7816,谦虚,114,1.379
14902,尼特,24,1.379
16049,堡,27,1.379
16724,扩展性,24,1.379
18784,炮弹,27,1.379
5808,匮乏,59,1.378
11868,喷射,142,1.378
4912,民族,1213,1.377
7024,沉没,88,1.377
10794,繁荣,718,1.377
13472,播种,91,1.377
4194,骗局,92,1.376
12664,认定,68,1.376
15124,顺从,47,1.376
23303,刺激性,23,1.376
916,代表,5732,1.375
6890,亲密,357,1.375
9575,平稳,212,1.375
38681,电光,30,1.375
14271,卡扎菲,210,1.374
17384,杀菌剂,62,1.374
3413,保持,6056,1.373
4190,主管,786,1.373
5847,偶然,186,1.373
2177,快乐,2320,1.372
45235,姆,25,1.372
2519,受伤,1337,1.371
2803,违背,145,1.371
3389,职位,1867,1.371
4148,旅游,1942,1.371
6129,相符,113,1.371
9244,拉伸,133,1.371
613,演讲,2236,1.37
932,遗传学,267,1.37
3598,宣誓,243,1.37
15559,病理,537,1.37
2775,心灵,642,1.369
2891,种植,1111,1.369
13630,细分,85,1.369
16167,内特,27,1.369
34956,非金属,54,1.369
5730,更改,2741,1.368
7382,变异,310,1.368
11408,诽谤,90,1.368
14016,贬值,126,1.368
4019,选手,385,1.367
1045,武装,159,1.366
1795,认可,1880,1.366
2785,奇异,104,1.366
5486,编制,356,1.366
7796,即时,352,1.366
13948,诧异,24,1.366
19014,路易莎,24,1.366
38333,特曼,24,1.366
1139,盘,140,1.365
1850,微生物,1048,1.365
6040,分,505,1.365
8959,柜子,65,1.365
13801,借出,29,1.365
18821,兰,35,1.365
935,反常,95,1.364
1426,组织,11314,1.364
2240,情况,10108,1.364
15644,分叉,54,1.364
16650,叛逆,100,1.364
24962,麻醉,291,1.364
1094,努力,4558,1.363
3409,至关重要,705,1.363
6647,卑鄙,27,1.363
8352,明智,253,1.363
6961,钢筋,184,1.362
9690,皮质,123,1.362
13208,散发,29,1.362
14520,分娩,133,1.362
20539,夹层,33,1.362
2477,单纯,202,1.361
7127,缺失,298,1.361
7751,流浪汉,59,1.361
16445,剖析,35,1.361
1207,旁边,988,1.36
