,words,amounts,entropies
106,από,214951,1.519
8772,ευγενικός,80,1.518
10839,αντιτρομοκρατικός,210,1.518
8448,θεσμοθετώ,77,1.515
431,κάπως,1354,1.514
541,διατηρώ,6246,1.514
7412,αξιοθρήνητος,51,1.514
1342,αντιλαμβάνω,606,1.513
1125,διαχωρίζω,395,1.511
1560,καταστροφικός,1291,1.509
1910,διαβιβάζω,420,1.508
4392,ντροπή,421,1.508
9446,παρασύρω,36,1.508
3367,προσκήνιο,177,1.504
4498,φυλακίζω,334,1.503
7186,απαρχαιωμένος,158,1.503
726,σημαντικά,2457,1.498
1380,αρχείο,252,1.498
7145,πνίγω,80,1.498
1573,επακόλουθος,142,1.494
1909,μεταβιβάζω,257,1.494
4924,ανάκληση,71,1.494
1400,σύμβουλος,468,1.493
366,θέσπιση,1617,1.492
1241,περιορίζω,4899,1.492
3392,επιτακτικός,410,1.492
1704,απαίσιος,79,1.49
1142,αποκατάσταση,1195,1.489
1851,φορτίο,229,1.489
3114,συλλογισμός,95,1.489
129,στιγμή,10846,1.488
1379,καταγραφή,262,1.487
1753,μέσος,7866,1.487
2336,ανακούφιση,166,1.487
2365,βαθύς,1315,1.487
1571,συνακόλουθος,65,1.485
5982,εκπλήσσω,204,1.485
254,γίνομαι,18117,1.484
2427,τοποθετώ,57,1.483
2452,μετατρέπω,1776,1.482
555,αρκετά,3802,1.481
786,ελέγχω,1728,1.481
1798,συγκεντρώνω,773,1.481
2426,εγκατάσταση,1629,1.481
10266,σκουπίδι,85,1.481
78,πραγματοποιώ,2458,1.479
678,εξετάζω,6638,1.479
1498,παράβαση,646,1.478
3571,ασήμαν,152,1.478
881,όποιος,1320,1.477
1209,στερώ,510,1.477
139,ιδιαίτερα,17608,1.476
1902,δικαιολογώ,2317,1.475
2727,επίκεντρο,897,1.474
3702,συγγνώμη,457,1.471
287,εντελώς,3656,1.469
3537,σθένος,122,1.469
2203,αξιολόγηση,6649,1.467
4591,τυφλός,60,1.467
343,καταλήγω,2568,1.466
558,έγκριση,4458,1.465
933,συνήθως,1717,1.465
1602,αφαιρώ,485,1.464
5010,διαψεύω,73,1.462
110,θέμα,36099,1.46
5198,δυσλειτουργία,112,1.459
290,αποκλειστικά,1692,1.458
6986,χαλαρός,75,1.458
3113,σκεπτικό,160,1.457
6255,ζωοτροφή,611,1.457
2068,κύρος,193,1.456
4892,λεπτός,204,1.456
865,λίγο,9562,1.455
2150,κατασκευή,1513,1.455
8525,κινητό,231,1.455
928,ασφαλώς,4046,1.454
1088,παράδοξος,250,1.453
1545,ενδιαφερόμενος,1847,1.453
2470,ανεπαρκώς,98,1.453
1597,τεράστιος,6092,1.452
4304,αποσπασματικός,82,1.451
5870,επίπονος,85,1.451
959,οργανισμός,9429,1.45
505,συνολικός,3995,1.448
2660,διάδοση,686,1.448
5394,γνωστοποιώ,90,1.447
2084,άχρηστος,167,1.446
8190,τραυματίας,99,1.446
3026,ανακατανομή,188,1.445
907,πλευρά,7957,1.443
1086,αντίθετος,2424,1.443
1644,διάθεση,1223,1.442
5984,έκπληκτος,123,1.442
6266,ελευθερώνω,107,1.441
6323,έμπορος,254,1.441
1257,αδυναμία,1315,1.44
522,συνιστώ,1557,1.439
576,σταθερά,361,1.439
2475,δεινά,120,1.439
362,θεσπίζω,2212,1.438
3700,συγχωρώ,378,1.438
7392,κοινοτικοποίηση,141,1.438
310,περίπου,5011,1.435
1128,διακρίνω,233,1.435
3986,υποψηφιότητα,273,1.434
504,σύνολο,3287,1.432
631,προσφυγή,530,1.431
2549,επιδεινώνω,804,1.431
1395,επιχείρηση,15555,1.429
6153,ανήσυχος,68,1.429
697,ικανοποίηση,1487,1.427
766,αποκτώ,1680,1.427
1702,κακός,4050,1.423
2286,ενσωμάτωση,1440,1.422
14189,περιέργως,76,1.422
1136,επαναλαμβανόμενος,184,1.421
2159,εντυπωσιακός,502,1.421
1343,αντίληψη,821,1.42
1211,λογικός,2854,1.419
2355,κενό,1171,1.418
6431,δημοσιοποίηση,69,1.417
818,άποψη,15383,1.415
3221,αντιβαίνω,160,1.415
1362,λειτουργικός,1176,1.414
788,έλεγχος,14714,1.413
1507,αντίθετα,2193,1.413
1624,περιορισμός,4193,1.413
5525,δανεισμός,147,1.412
2693,παρακωλύω,104,1.411
4256,εμφανής,629,1.411
6085,οπαδός,128,1.411
4116,παράλογος,863,1.41
517,έδρα,462,1.409
622,περνώ,1982,1.409
6817,χωρικός,124,1.408
698,ευτυχής,1145,1.407
124,διάρκεια,2265,1.406
9207,πιστός,199,1.405
1999,θαυμάσιος,179,1.404
5721,τύχη,682,1.404
935,συνήθης,602,1.403
2626,θέληση,147,1.402
2676,διαφεύγω,250,1.402
2823,διαρκός,106,1.402
2795,διεξοδικά,197,1.401
5730,κολλώ,96,1.401
200,κάποιος,17819,1.4
56,ωραίος,748,1.399
6715,διαρροή,126,1.398
3828,υπεροχή,101,1.397
3358,ανεπιφύλακτα,214,1.395
169,παρακολουθώ,2612,1.394
2307,χαρακτηρισμός,73,1.394
1365,λειτουργώ,6122,1.391
442,προηγούμενος,7232,1.39
2437,επίπτωση,7529,1.39
3103,προσέχω,198,1.39
2106,προσδιορίζω,1128,1.389
2193,σκληρός,1289,1.388
688,διεξάγω,4313,1.387
1653,επιβολή,974,1.387
8279,ευγενικά,66,1.387
617,προχωρώ,3458,1.386
4435,εμμένω,159,1.386
2467,κακώς,54,1.383
3715,επιμονή,322,1.383
992,αιτιολογώ,456,1.382
8621,τρομοκρατώ,86,1.382
4867,διαγραφή,273,1.381
88,σειρά,4415,1.38
7987,εμμονή,196,1.38
502,όριο,3575,1.379
2734,αναζωογόνη,27,1.379
7043,ευρωμεσογειακός,225,1.379
10565,πυροβολισμός,79,1.379
4514,απομάκρυνση,211,1.376
1500,παραβιάζω,1435,1.375
6884,κοντινός,151,1.375
1053,εργασία,25750,1.371
1132,διεξαγωγή,614,1.371
2341,άμβλυνση,49,1.37
9569,απεικόνιση,104,1.37
820,αντιπρόεδρος,972,1.369
4486,συνυπογράφω,40,1.369
6825,μεροληπτικός,83,1.369
1762,ακριβός,1168,1.368
2807,απομακρύσμενος,63,1.368
4204,επιτρεπόμενος,219,1.368
5401,διαφύλαξη,349,1.368
1905,ύψος,386,1.367
12692,τέλμα,24,1.366
1616,απομακρύνω,480,1.364
1755,αγώνας,3055,1.364
12617,αναταράχη,27,1.363
644,λανθασμένος,437,1.362
8351,αναπαραγωγή,198,1.362
5860,αντιλαϊκός,123,1.361
6259,διαψεύδω,26,1.361
1934,εύλογος,683,1.36
2411,δυναμική,474,1.36
3525,διέλευση,110,1.36
4631,απομεινάριο,28,1.36
6758,ομαλός,130,1.36
10222,εξουδετερώνω,45,1.36
441,λόγος,28126,1.359
396,σχέση,19979,1.358
533,αρμοδιότητα,4820,1.358
727,αισθητά,94,1.358
6195,στάσιμος,39,1.357
501,σύμφωνα,9335,1.356
2234,οπτικός,257,1.356
3347,ανεξέλεγκτος,329,1.356
4302,δυσάρεστος,102,1.356
5448,εξευτελιστικός,83,1.356
6595,προτροπή,29,1.356
9836,κουραστικός,45,1.356
12799,ακούσιος,71,1.356
14521,ψηφιοποίηση,89,1.355
6152,νομιμοποιώ,200,1.354
8848,διαμεσολαβητής,349,1.354
1198,κίνηση,1747,1.353
3193,δραστικός,304,1.352
11478,απεχθής,28,1.352
8346,απομίμηση,147,1.351
2898,αναζωογονώ,104,1.35
4887,αμφισββητούμενος,42,1.35
14050,πληροφοριοδότης,54,1.349
1938,αμέριστος,30,1.348
2127,εδάφιο,51,1.348
5676,φωτογραφία,1358,1.347
6350,ηρεμία,98,1.347
9429,αγίος,80,1.347
10401,άρωμα,66,1.347
1536,βλάπτω,320,1.346
3384,τεκμηριώνω,72,1.346
5681,χιλιόμετρο,730,1.346
6466,βαρβαρότητα,177,1.346
303,αναφέρω,16945,1.345
1539,ζημιώνω,176,1.345
86,πολύς,55514,1.344
2339,ελαφρύνω,58,1.342
4960,α,116,1.341
9591,βάρβαρος,178,1.341
1323,εκτίμηση,2315,1.34
3391,εξορθολογισμός,157,1.34
6752,συγχρονίζω,37,1.34
11983,αμείλικτος,29,1.34
3701,συγνώμη,197,1.339
5092,απελευθέρωση,1439,1.339
449,υποβολή,479,1.338
320,συνδέω,3315,1.337
468,χρονοδιάγραμμα,1460,1.337
3802,ασυνήθιστος,164,1.337
232,κατάλληλος,5190,1.336
2732,αναγέννηση,104,1.335
6213,θράσος,28,1.335
8521,εξέγερση,300,1.334
209,τελευταίος,16361,1.332
6163,δραστικά,200,1.332
9352,αποποιώ,36,1.332
364,καθιέρωση,1368,1.331
2262,ενώνω,1287,1.331
817,πίνακα,563,1.33
3798,επανεμφάνιση,31,1.329
5093,απελευθερώνω,434,1.329
7113,σαρώνω,58,1.329
4203,αδεία,304,1.328
9203,διαμεσολαβητικός,30,1.327
2086,ανώφελος,63,1.325
93,πραγματικά,13152,1.324
4740,τηλεφωνώ,37,1.323
9935,σάρωση,70,1.323
2348,καλλιεργώ,370,1.322
5774,καταστρεπτικός,112,1.322
8445,φανταστικός,326,1.322
3413,εκχωρώ,77,1.321
562,κατάρτιση,1046,1.318
637,ειδικός,8209,1.318
4840,αποκλίνω,76,1.317
561,καταρτίζω,893,1.316
6939,εκκαθάριση,147,1.316
3074,ανάμιξη,110,1.313
3171,αμφισβητώ,373,1.313
5386,μητρικός,410,1.313
168,παρατηρώ,1028,1.312
1192,έναντι,1862,1.312
2659,κατανομή,1041,1.312
2343,αμβλύνω,86,1.311
4127,αναλογικά,58,1.311
8192,τραυματίζω,127,1.311
48,αυτός,400217,1.31
5054,οργή,147,1.31
11477,εγωισμός,132,1.31
821,αντιστρόφως,56,1.309
1899,τονίζω,6623,1.309
6042,διασπορά,40,1.309
283,είδος,9126,1.308
2520,βεβαιώνω,88,1.308
2548,οξύνω,103,1.308
4629,σβήνω,70,1.308
6254,παρερμηνεύω,52,1.308
6636,περιβόητος,58,1.308
105,για,415345,1.307
1277,ηλεκτρονικά,318,1.307
1950,τόπος,900,1.307
3465,κατοικώ,289,1.307
3703,καταπατώ,84,1.307
8262,ανεπιφύλακτος,43,1.307
1178,λαϊκός,742,1.306
2410,ώθηση,669,1.306
2675,χαμένος,360,1.305
2976,απογοήτευση,694,1.305
203,πολύ,62671,1.304
1330,κοντά,1609,1.304
1770,λυπηρός,1189,1.304
2462,αντιστάθμιση,159,1.303
699,ικανοποιημένος,698,1.301
2876,εύπορος,91,1.301
5992,αδίκως,51,1.299
1283,απαραίτητος,11907,1.298
2425,εντοπίζω,850,1.298
4543,τριμερής,247,1.298
23,αναβολή,741,1.297
2683,υπέρβαση,341,1.297
11714,δελτίο,27,1.297
3556,σκοπιμότητα,221,1.296
6656,αμοιβαίος,443,1.296
1385,ενδοιασμός,78,1.295
4858,απόσπαση,40,1.295
891,οριστικός,608,1.294
1534,πλήττω,1962,1.294
2028,κίλος,41,1.294
141,ειδικά,8679,1.293
4079,προληπτικός,661,1.293
5885,εξαπατώ,134,1.293
10474,εμφανώς,40,1.293
847,παρατήρηση,4400,1.292
1618,αποσπάζω,66,1.292
3360,συγκεντρωτικός,141,1.292
9804,αγωνιστής,81,1.292
3469,ηθική,294,1.291
5395,αναπροσανατολισμός,45,1.291
5442,ανεπιθύμητος,406,1.291
6216,άξονας,127,1.291
1857,υποχρεωτικά,133,1.29
6142,απόσπασμα,66,1.289
264,ίσως,10751,1.288
1140,επαναφέρω,181,1.288
4285,διακρατικός,217,1.288
553,μάλιστα,2256,1.287
1432,προϋπόθεση,4979,1.287
1543,συμμετοχή,6076,1.287
3453,χειρισμός,261,1.286
3647,αεροπλάνο,661,1.286
3818,δυστυχία,222,1.286
4357,εκατό,490,1.286
3045,επανορθώνω,57,1.285
3293,αψηφώ,69,1.285
4370,παράξενος,453,1.285
1696,φοβερής,113,1.284
5943,απεικονίζω,129,1.284
7899,διαγωνισμός,166,1.284
1165,λειτουργία,4932,1.283
4898,γνωστοποίηση,92,1.282
7165,λαθραίος,101,1.282
12360,μαθηματικός,295,1.282
16176,αντικυκλικός,37,1.282
704,ευχαριστημένος,331,1.281
2460,αντισταθμίζω,240,1.281
224,λίγος,7109,1.28
630,απευθύνω,1025,1.28
2025,κιλά,179,1.28
2369,επιζήμιος,308,1.28
4769,προκαταλαμβάνω,57,1.279
182,τύπος,3409,1.278
136,κάθε,23391,1.277
899,τροποποίηση,4963,1.277
2515,επανεξέταση,452,1.277
4918,κατάλοιπα,42,1.277
1193,καταπολέμηση,7155,1.276
6731,συλλέκτης,43,1.276
131,ζητώ,13151,1.275
3292,περιφρονώ,33,1.274
3361,συγκεντρωτισμός,70,1.274
4332,προορίζω,574,1.274
17648,διαθρησκευτικός,45,1.274
2101,ποσοστό,3511,1.273
4712,ανεξάρτητα,1197,1.273
548,βάσει,4929,1.272
1256,παράλειψη,277,1.271
4836,κατοικία,410,1.271
813,υποβάλλω,4209,1.27
4941,αδικαιολόγητα,64,1.27
2338,ανακουφίζω,82,1.269
593,συνέδριο,929,1.268
1029,ούτε,7213,1.268
1104,δημιουργία,10338,1.268
1689,χώρος,5529,1.268
2987,συμπεριφορά,2777,1.268
10456,αριθμητικός,91,1.268
14256,αποσύνδεση,158,1.268
2041,αναμονή,405,1.265
4500,εγκλωβίζω,49,1.265
7537,κοπρία,41,1.265
11176,ποινικοποίηση,143,1.264
390,παρά,8396,1.263
2342,μετριασμός,149,1.263
2911,επεξεργασία,712,1.263
6517,αδιανόητος,291,1.263
2089,ασάφεια,225,1.262
1382,στόχος,25931,1.261
7890,απότομος,70,1.261
4469,δίωξη,782,1.26
682,εκπόνηση,387,1.259
5071,δυσφορία,48,1.259
176,συνείδηση,926,1.258
2851,υφίσταμαι,851,1.258
5784,μαζεύω,82,1.258
383,μείωση,9198,1.257
6965,αναμόρφωση,33,1.257
1866,περιθώριο,1234,1.256
1981,ακατάλληλος,363,1.256
2046,αποτελεσματικότητα,3557,1.256
216,πρέπει,177259,1.255
472,εφαρμογή,14839,1.255
3317,αρνητικά,218,1.255
4042,θανάσιμος,79,1.255
5723,φυλλάδιο,113,1.254
5962,μολύς,220,1.254
8080,παρακράτηση,81,1.254
7985,όμιλος,81,1.253
20,διακόπτω,1591,1.252
1670,γρήγορα,3319,1.251
2204,ικανότητα,4740,1.251
72,καταφέρνω,1610,1.25
339,φτάνω,2581,1.25
1045,συνεπάγομαι,1881,1.25
2941,επέκταση,2095,1.249
4185,διατροφικός,396,1.249
8770,υποτίμηση,159,1.249
1598,έξοδος,351,1.248
2865,ένδειξη,1572,1.247
7156,υποκινώ,70,1.246
2387,απογοητεύω,593,1.245
7208,γενναιότητα,46,1.245
3989,στήλος,78,1.244
5743,μεταλλικός,144,1.244
469,μέχρι,7415,1.243
4273,σύντροφος,121,1.243
5173,χρονικός,98,1.243
6061,αδιαμφισβήτητο,58,1.243
9922,καταφύγιο,223,1.243
225,μερικοί,7658,1.242
4865,ακυρώνω,280,1.242
9017,αποκορύφωμα,49,1.242
263,πιθανώς,2430,1.241
1726,μέσα,4069,1.239
4632,υπόλειμμα,64,1.239
802,ενδιαφέρω,1308,1.238
368,εισαγωγή,3900,1.237
6191,υπερβολή,198,1.237
2859,φάρμακο,2241,1.236
4555,νικώ,227,1.236
3078,αερομεταφορέας,225,1.235
9260,αδιέξοδος,333,1.235
5748,αποκεντρώνω,337,1.234
1047,υπαινίσσομαι,38,1.233
1378,ιστορικός,2865,1.233
3153,σοβαρότητα,855,1.233
7578,υγειονομικός,83,1.232
3129,αφιερώνω,812,1.231
4051,μηχανικός,467,1.231
8278,ενθουσιάζω,59,1.231
3323,περιοδικός,74,1.23
646,καλά,10689,1.229
2069,σύνδεση,2220,1.228
2547,εντείνω,250,1.228
3874,σήμα,822,1.228
262,ενδεχομένως,963,1.225
3242,πρωτοποριακός,85,1.225
2497,άρνηση,860,1.224
2781,στέλεχος,75,1.224
5976,ματιά,101,1.224
4724,αντιπαράθεση,314,1.223
6611,εξαθλίωση,45,1.223
2103,ισοδυναμώ,232,1.222
5325,καλλιέργεια,705,1.222
1629,ξεσπώ,109,1.221
1659,σφραγίδα,58,1.221
4389,ειλικρινός,272,1.221
4425,τόλμη,69,1.221
5950,πωλητής,85,1.221
143,συγκεκριμένα,4056,1.22
547,καταδίκη,451,1.22
6079,τόξος,41,1.22
9979,πιστοποιώ,138,1.22
16065,δε,466,1.22
222,απλά,14566,1.219
5231,υποβάθμιση,351,1.219
861,παρόν,3819,1.218
164,αίθουσα,2092,1.217
1116,πέρα,2054,1.217
1120,πράξη,5326,1.216
1716,αεροπορικός,1361,1.216
1499,παραβίαση,3865,1.215
2806,απομακρύζω,105,1.215
5247,ελαφρά,114,1.215
1442,εκπαιδευτικός,1738,1.214
2997,κερδίζω,1787,1.214
6278,ένοχος,146,1.214
8206,επαναξιολόγηση,50,1.214
998,λήξη,779,1.213
6477,εγγραφή,182,1.213
7575,πύλη,161,1.213
9651,ήπιος,92,1.212
844,παρέμβαση,3478,1.211
2521,επίβλεψη,170,1.211
1146,απόρριψη,1030,1.21
1948,έδαφος,1591,1.21
997,τελειώνω,1218,1.209
476,απαιτώ,10470,1.208
1167,επαγγελματικός,2494,1.208
3817,ταλαιπωρία,61,1.208
5272,κατηγοριοποίηση,60,1.208
1437,διοργανώνω,311,1.206
3710,πρόσληψη,320,1.206
2529,γεωργία,3683,1.205
3990,αποκηρύσσω,82,1.205
542,παραμονή,344,1.204
2966,παράλληλα,668,1.204
585,αποδεικνύω,5770,1.202
3203,πολλαπλασιασμός,109,1.201
1110,επιτρέπω,17027,1.2
1914,υπάλληλος,1671,1.2
5897,εσφαλμένα,66,1.2
1163,τομέας,35939,1.199
2581,μεταστροφή,50,1.198
2905,εντυπωσιάζω,123,1.198
3727,απαγωγή,199,1.198
6673,επανεντάσσομαι,66,1.198
1299,αποζημίωση,1636,1.197
2190,ακτό,519,1.197
8090,δημιουργός,350,1.197
9634,ανυπομονησία,85,1.197
638,συγκεκριμένος,11135,1.196
5746,οριστικά,165,1.196
1187,ασχολούμαι,2077,1.195
3122,ελεγκτικός,436,1.195
5993,άδικα,59,1.195
2392,αποκρύπτω,198,1.194
6733,διάφημιση,257,1.194
7029,ζήλος,65,1.194
7144,όραση,129,1.194
2563,εξαφάνιση,426,1.193
6194,δυσοίωνος,47,1.193
11878,ταραχή,92,1.193
649,κατηγορία,2798,1.192
801,πρόθυμος,1125,1.192
11704,φωτεινός,70,1.192
1102,ίδρυση,648,1.191
1331,κλείσιμο,448,1.191
2794,βάθος,454,1.19
3075,ανάμειξη,205,1.189
2239,εκμετάλλευση,948,1.188
503,ολόκληρος,7475,1.186
10402,αρωματικός,63,1.186
3182,χαλαρώνω,103,1.185
6186,παραιτούμαι,172,1.184
2079,προσαρμογή,2084,1.183
9927,μεταδοτικός,92,1.183
1319,εκτιμώ,1371,1.182
1774,αίσθηση,1590,1.182
4270,συνεργάτης,263,1.182
5780,βιομηχανοποιημένος,66,1.182
7188,παρωχημένος,66,1.182
7417,στέγη,85,1.182
8140,βενζίνη,46,1.182
624,πάνω,5113,1.181
2654,επιχειρηματία,483,1.181
3681,επισκιάζω,125,1.181
1958,άμεσα,3261,1.18
94,πράγματι,5801,1.179
3390,επιδίωξη,317,1.179
2125,σκέψη,1963,1.178
3184,άνεση,42,1.177
3800,έκτακτος,670,1.177
3706,επιλογή,6076,1.176
1271,υπολογίζω,915,1.175
2083,άσκοπος,168,1.175
2509,αμέλεια,168,1.175
3061,ασαφής,509,1.174
2288,εντάσσω,1077,1.173
4763,σθεναρός,105,1.173
6898,υποδοχή,71,1.173
2188,αντοχή,112,1.172
3301,αφοσιώνω,171,1.172
142,ιδίως,9452,1.171
572,ισχύω,5078,1.171
1071,διαδικτυακός,376,1.171
5279,τροφοδοτώ,181,1.171
34,ακόμα,31031,1.17
3088,σύνθετος,344,1.17
140,ιδιαίτερος,4751,1.169
838,απαντώ,4095,1.169
3403,αξίζω,2812,1.168
